 ,VANRIPER,,ZINKIE,,STEINHORN,    ,HEANEY,,MELCHIOR,,PIANOWSKI,,ENGEL,,SWANAY,,DiFINO,,SINGMAN,,DAVITT,,SCHWARTZ,,FLOWERS,,GONOS,,PISAPIA,,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,1,Left to Spend,0,Left to Spend,0,Left to Spend,1,Left to Spend,0,Left to Spend,2,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,2,Max Bid,1,Max Bid,1,Max Bid,2,Max Bid,1,Max Bid,3,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,
C,Y. Molina,12,Gattis,15,W. Ramos,10,Y. Grandal,8,Mesoraco,20,Posey,27,T. d'Arnaud,13,Jaso,5,S. Perez,10,Y. Gomes,15,Ru. Martin,19,Der. Norris,11,Wieters,11,Saltalamacchia,3,Lucroy,20,C
C,M. Montero,5,Br. McCann,15,C. Ruiz,1,Rene Rivera,1,A.J. Ellis,1,A. Avila,2,W. Rosario,5,Cervelli,2,N. Hundley,1,Zunino,4,D. Navarro,1,Chirinos,1,Vogt,3,Iannetta,2,J. Castro,1,C
1B,Ad. Gonzalez,22,Duda,13,K. Morales,3,C. Santana,25,Ad. LaRoche,16,Mi. Cabrera,39,Fielder,27,Abreu,36,Belt,14,V. Martinez,18,Goldschmidt,44,Encarnacion,35,Freeman,25,Votto,31,Frazier,21,1B
3B,D. Wright,15,Ch. Headley,9,K. Seager,22,A. Beltre,27,Castellanos,2,M. Carpenter,16,Chisenhall,1,K. Bryant,16,Sandoval,12,Bogaerts,14,Longoria,22,Donaldson,32,Ch. Davis,23,R. Zimmerman,18,Arenado,19,3B
CI,Morneau,7,Pujols,20,Rizzo,40,Ar. Ramirez,5,Ike Davis,1,Br. Lawrie,3,Ry. Howard,1,M. Adams,7,Al. Rodriguez,4,S. Pearce,3,P. Alvarez,6,Y. Alonso,1,Hosmer,13,Napoli,8,Machado,12,CI
2B,Pedroia,14,Rendon,26,K. Wong,17,A. Hill,1,Semien,6,Prado,1,Dee Gordon,18,Cano,29,Altuve,31,Kipnis,22,Zobrist,17,Gennett,1,Kendrick,16,N. Franklin,1,Kinsler,17,2B
SS,J.J. Hardy,2,Jo. Ramirez,8,E. Andrus,15,St. Castro,11,As. Cabrera,6,Al. Ramirez,12,Han. Ramirez,31,Jav. Baez,8,Tulo,28,Da. Santana,14,Desmond,29,Jed Lowrie,4,Jose Reyes,18,J. Peralta,7,J. Rollins,14,SS
MI,Dan. Murphy,7,Br. Dozier,22,N. Walker,10,Segura,11,Amarista,1,A. Escobar,6,W. Flores,1,Br. Miller,2,Gyorko,7,Alcantara,4,Bonifacio,1,Owings,1,Er. Aybar,5,Utley,4,Br. Phillips,1,MI
OF,Trout,48,B. Hamilton,16,Br. Moss,17,C. Gomez,39,G. Stanton,40,M. Holliday,20,Yelich,26,Rus. Castillo,13,C. Gonzalez,26,Br. Harper,33,J. Bruce,15,Betts,18,Heyward,21,McCutchen,44,Jo. Bautista,36,OF
OF,Ry. Braun,25,Choo,18,Ju. Upton,27,Mi. Brantley,29,Springer,31,Av. Garcia,8,Ad. Jones,26,Gr. Polanco,15,Cespedes,15,J. Soler,15,N. Cruz,14,Puig,31,S. Marte,24,A. Rios,12,Pence,12,OF
OF,Ellsbury,25,W. Myers,5,Os. Arcia,7,Trumbo,9,C. Dickerson,25,Al. Gordon,15,M. Byrd,5,Blackmon,14,Le. Martin,12,M. Ozuna,14,Au. Jackson,7,K. Calhoun,18,A. Eaton,12,Kemp,24,Mel. Cabrera,10,OF
OF,Crisp,3,Kh. Davis,5,D. Span,4,Fowler,6,Y. Tomas,5,Cuddyer,4,Joyce,1,J. Pederson,10,Allen Craig,1,Tr. Snider,7,J.D Martinez,15,J. Werth,13,Des. Jennings,3,Souza,10,M. Bourn,1,OF
OF,Morse,1,Granderson,3,M. Saunders,3,C. Crawford,3,Revere,6,Br. Gardner,14,Raj. Davis,1,Jo. Harrison,9,Aoki,1,J. Lagares,1,C. Beltran,5,Pollock,9,L. Cain,3,Pompey,6,Markakis,1,OF
