 ,COCKCROFT,,"GARDNER
",,"HERTZ
",    ,GIANELLA,,CARTY,,GUILFOYLE,,MELNICK,,ZOLA,,WALTON,,KREUTZER,,WILDERMAN,,McCAFFREY,
,Left to Spend,1,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,3,Left to Spend,0
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,Max Bid,2,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,4,Max Bid,1
C,F. Cervelli,3,P. O'Brien,2,N. Hundley,6,D. Mesoraco,17,T. D'Arnaud,13,A. Susac,3,A.J. Pierzinski,2,M. McKenry,4,D. Norris,11,B. Posey,27,Y. Molina,14,J. Lucroy,20
C,T. Goswisch,1,W. Ramos,12,J. Saltalamacchia,11,W. Rosario,12,B. Pena,2,T. Sanchez,1,A.J. Ellis,2,C. Ruiz,11,W. Castillo,2,Y. Grandal,13,C. Bethancourt,5,M. Montero,13
1B,A. Rizzo,31,F. Freeman,28,Y. Alonso,11,P. Goldschmidt,37,J. Morneau,18,A. Gonzalez,26,M. Reynolds,4,S. Van Slyke,6,B. Belt,23,S. Rodriguez,1,J. Votto,29,M. Adams,21
3B,M.Olt,1,A. Ramirez,17,D. Wright,25,Y. Solarte,3,C. Asche,8,N. Arenado,25,T. Frazier,27,M. Carpenter,21,J. Lamb,6,C. Johnson,7,K. Bryant,18,J. Uribe,7
CI,R. Howard,13,J. Turner,2,R. Zimmerman,22,L. Duda,21,J. Mayberry,1,T. Moore,1,P. Alvarez,19,M. Franco,6,A. Lind,17,M. Prado,15,J. Baker,1,D. Ruf,8
2B,C. Utley,15,B. Phillips,12,J. Harrison,18,F. Galvis,1,D.J. LeMaheiu,9,A. Hill,11,N. Walker,19,K. Wong,21,H. Kendrick,19,A. Rendon,27,D. Gordon,25,J. Panik,5
SS,A. Amarista,7,J. Segura,20,Z. Cozart,3,J. Peralta,15,J. Baez,10,S. Castro,22,I. Desmond,26,C. Culberson,1,J. Rollins,19,T. Tulowitzki,29,W. Flores,9,C. Owings,12
MI,J. Gyorko,14,T. La Stella,2,J. Mercer,5,A. Hechavarria,2,J. Kang,7,D. Espinosa,1,J.Peterson,6,D. Murphy,16,B. Crawford,5,A. Callaspo,3,A. Alcantara,13,A. Simmons,10
OF,Y. Puig,29,S. Marte,29,J. Heyward,26,B. Revere,18,B. Hamilton,25,C. Dickerson,25,C. Yelich,23,C. Gomez,37,E. Young,8,A. McCutcheon,39,M. Cuddyer,13,J. Jay,8
OF,J. Lagares,9,H. Pence,18,J. Upton,28,C. Gonzalez,27,G. Stanton,38,J. Bruce,24,A.J. Pollock,19,M. Kemp,29,G. Polanco,19,R. Braun,30,J. Soler,20,J. Pederson,17
OF,C. Granderson,19,J. Werth,20,"A. Ethier
",6,Y. Tomas,12,B. Harper,28,M. Ozuna,22,C. Blackmon,23,A. Pagan,10,M. Holliday,22,G. Parra,3,D. Peralta,4,C. Crawford,15
