,Fred Zinkie,,Steve Gardner,,Scott Wilderman,,Brian Walton,,Craig Mish,,Phil Hertz,,Grey Albright,,Todd Zola,,Derek Carty,,Tristan Cockcroft,,Peter Kreutzer,,Lenny Melnick,,,
C,Alex Avila,1,Austin Barnes,1,Willson Contreras,17,James McCann,11,Joey Bart,1,Carson Kelly,8,Elias Diaz,1,Travis d'Arnaud,15,Tucker Barnhart,2,Jorge Alfaro,4,Victor Caratini,3,Tyler Stephenson,4,,
C,Omar Narvaez,3,Daulton Varsho,9,Austin Nola,10,Yadier Molina,5,J.T. Realmuto,19,Buster Posey,8,Andrew Knizner,1,Jacob Stallings,2,Yan Gomes,3,Curt Casali,1,Will Smith,17,Stephen Vogt,1,,
1B,Max Muncy,25,Eric Hosmer,17,Christian Walker,16,Paul Goldschmidt,25,C.J. Cron,17,Pete Alonso,27,Anthony Rizzo,25,Brandon Belt,17,Joey Votto,16,Rhys Hoskins,24,Freddie Freeman,36,Josh Bell,22,,
3B,David Bote,3,Ke'Bryan Hayes,18,Eduardo Escobar,16,Kris Bryant,23,Alec Bohm,24,Justin Turner,17,Josh Fuentes,4,Brian Anderson,16,Carter Kieboom,7,Jon Berti,13,Nolan Arenado,25,Manny Machado,30,,
CI,Garrett Cooper,3,Asdrubal Cabrera,7,Eugenio Suarez,27,J.D. Davis,8,Todd Frazier,1,Evan Longoria,7,Colin Moran,10,Pavin Smith,1,Jesus Aguilar,7,Ryan McMahon,13,Edwin Rios,2,Austin Riley,17,,
2B,Ozzie Albies,27,Mike Moustakas,23,Jazz Chisholm,4,Jake Cronenworth,12,Wilmer Flores,7,Jeff McNeil,22,Josh Rojas,4,Kolten Wong,16,Ketel Marte,23,Gavin Lux,15,Jurickson Profar,10,Jonathan Villar,10,,
SS,Fernando Tatis Jr.,38,Trea Turner,37,Ha-seong Kim,9,Paul DeJong,15,Nico Hoerner,8,Chris Taylor,18,Trevor Story,35,Luis Urias,2,Nick Ahmed,10,Corey Seager,26,Dansby Swanson,23,Javier Baez,20,,
MI,Francisco Lindor,33,Scott Kingery,5,Chris Owings,1,Mauricio Dubon,9,Kevin Newman,7,Tommy La Stella,12,Orlando Arcia,4,Jean Segura,20,Miguel Rojas,9,Didi Gregorius,16,Donovan Solano,2,Garrett Hampson,17,,
O,Tommy Edman,18,Adam Frazier,5,Dylan Carlson,18,Charlie Blackmon,21,Ronald Acuna Jr.,42,Starling Marte,26,Cody Bellinger,36,Jackie Bradley Jr.,14,Harrison Bader,10,Alex Dickerson,10,Mookie Betts,40,Nick Castellanos,24,,
O,Adam Duvall,5,Marcell Ozuna,29,Jason Heyward,12,Trent Grisham,25,Lorenzo Cain,14,Brandon Nimmo,19,Cristian Pache,4,Ian Happ,23,Kole Calhoun,11,Roman Quinn,1,Sam Hilliard,9,Michael Conforto,25,,
O,Odubel Herrera,2,AJ Pollock,17,Tim Locastro,2,Kyle Schwarber,19,Corey Dickerson,10,David Peralta,11,Juan Soto,44,Andrew McCutchen,20,Tommy Pham,24,Victor Robles,24,Kevin Pillar,2,Andrew Stevenson,1,,
O,Austin Slater,2,Jesse Winker,17,Christian Yelich,38,Lane Thomas,1,Bryce Harper,39,Nick Senzel,19,Raimel Tapia,16,Joc Pederson,14,Bryan Reynolds,11,Wil Myers,21,Dominic Smith,17,Mike Yastrzemski,20,,
