,Doug Dennis,,Andy Andres,,Mike Podhorzer,,Larry Schechter,,Patrick Davitt,,Howard Bender,,Jason Collette,,Eric Samulski,,Rob Leibowitz,,Chris Blessing,,Wolf and Colton,,Jeff Erickson,,,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,,
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,,
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,,
C,Mitch Garver,16,James McCann,1,Austin Wells,8,Cal Raleigh,17,Yainer Diaz,18,Adley Rutschman,28,Alejandro Kirk,12,Salvador Perez,17,Connor Wong,5,Ryan Jeffers,12,Victor Caratini,2,Logan O'Hoppe,18,,
C,Jake Rogers,8,Max Stassi,1,Shea Langeliers,8,Jonah Heim,15,Danny Jansen,7,Martin Maldonado,3,Christian Vazquez,2,Rene Pinto,5,Freddy Fermin,1,Tyler Soderstrom,2,Carson Kelly,1,Bo Naylor,17,,
1B,Triston Casas,25,Vladimir Guerrero,31,Nathaniel Lowe,13,Ryan O'Hearn,3,Josh Naylor,20,Spencer Torkelson,21,Anthony Rizzo,17,Vinnie Pasquantino,19,Justin Turner,14,Andrew Vaughn,9,Ty France,8,Yandy Diaz,23,,
3B,Jose Ramirez,38,Isaac Paredes,16,Josh Jung,13,Josh Rojas,4,Yoan Moncada,6,Jordan Westburg,11,Alex Bregman,27,Rafael Devers,32,Colt Keith,12,Royce Lewis,30,Maikel Garcia,19,J.D. Davis,7,,
2B,Edouard Julien,20,Jorge Polanco,15,Brandon Lowe,10,Zack Gelof,20,Marcus Semien,31,Gleyber Torres,24,Jose Caballero,15,Michael Massey,4,Jose Altuve,29,Davis Schneider,8,Andres Gimenez,22,Luis Urias,2,,
SS,J.P. Crawford,15,Luis Rengifo,15,Carlos Correa,14,Corey Seager,27,Zach Neto,14,Javier Baez,4,Trevor Story,19,Ezequiel Duran,5,Anthony Volpe,23,Gunnar Henderson,33,Bobby Witt,41,Jackson Holliday,12,,
