team_owner,position_slot,player_type,player_name,price,is_keeper
ANDY ANDRES,1B,batter,Isaac Paredes,19,FALSE
ANDY ANDRES,2B,batter,Mauricio Dubon,1,FALSE
ANDY ANDRES,3B,batter,Oswaldo Cabrera,4,FALSE
ANDY ANDRES,C,batter,Cal Raleigh,23,FALSE
ANDY ANDRES,C,batter,Alejandro Kirk,13,FALSE
ANDY ANDRES,INF,batter,Yoan Moncada,1,FALSE
ANDY ANDRES,OF,batter,Aaron Judge,50,FALSE
ANDY ANDRES,OF,batter,Esteury Ruiz,1,FALSE
ANDY ANDRES,OF,batter,Justyn-Henry Malloy,1,FALSE
ANDY ANDRES,OF,batter,Mitch Haniger,1,FALSE
ANDY ANDRES,P,pitcher,Tarik Skubal,34,FALSE
ANDY ANDRES,P,pitcher,Logan Gilbert,28,FALSE
ANDY ANDRES,P,pitcher,Jacob deGrom,22,FALSE
ANDY ANDRES,P,pitcher,Cade Smith,7,FALSE
ANDY ANDRES,P,pitcher,Clarke Schmidt,5,FALSE
ANDY ANDRES,P,pitcher,Kris Bubic,1,FALSE
ANDY ANDRES,P,pitcher,Hoby Milner,1,FALSE
ANDY ANDRES,P,pitcher,Chris Paddack,1,FALSE
ANDY ANDRES,P,pitcher,Keegan Akin,1,FALSE
ANDY ANDRES,SS,batter,Anthony Volpe,17,FALSE
ANDY ANDRES,SW,batter,Edouard Julien,1,FALSE
ANDY ANDRES,SW,batter,J.D. Martinez,1,FALSE
ANDY ANDRES,UT,batter,Brent Rooker,27,FALSE
CHRIS BLESSING,1B,batter,Seth Brown,1,FALSE
CHRIS BLESSING,2B,batter,Will Wagner,1,FALSE
CHRIS BLESSING,3B,batter,Jose Ramirez,42,FALSE
CHRIS BLESSING,C,batter,Connor Wong,11,FALSE
CHRIS BLESSING,C,batter,Dillon Dingler,1,FALSE
CHRIS BLESSING,INF,batter,Ryan Bliss,3,FALSE
CHRIS BLESSING,OF,batter,Wyatt Langford,27,FALSE
CHRIS BLESSING,OF,batter,Victor Robles,22,FALSE
CHRIS BLESSING,OF,batter,Jasson Dominguez,18,FALSE
CHRIS BLESSING,OF,batter,Kyle Isbel,6,FALSE
CHRIS BLESSING,P,pitcher,Framber Valdez,23,FALSE
CHRIS BLESSING,P,pitcher,Andres Munoz,21,FALSE
CHRIS BLESSING,P,pitcher,Joe Ryan,17,FALSE
CHRIS BLESSING,P,pitcher,Taj Bradley,11,FALSE
CHRIS BLESSING,P,pitcher,Lucas Erceg,5,FALSE
CHRIS BLESSING,P,pitcher,Luis L. Ortiz,3,FALSE
CHRIS BLESSING,P,pitcher,JP Sears,1,FALSE
CHRIS BLESSING,P,pitcher,Hunter Gaddis,1,FALSE
CHRIS BLESSING,P,pitcher,Shane Bieber,1,FALSE
CHRIS BLESSING,SS,batter,Willi Castro,14,FALSE
CHRIS BLESSING,SW,batter,Giancarlo Stanton,2,FALSE
CHRIS BLESSING,SW,batter,Brooks Lee,2,FALSE
CHRIS BLESSING,UT,batter,Colton Cowser,24,FALSE
DOUG DENNIS,1B,batter,Triston Casas,21,FALSE
DOUG DENNIS,2B,batter,Jose Altuve,25,FALSE
DOUG DENNIS,3B,batter,Royce Lewis,18,FALSE
DOUG DENNIS,C,batter,Austin Wells,16,FALSE
DOUG DENNIS,C,batter,Kyle Higashioka,2,FALSE
DOUG DENNIS,INF,batter,Ha-Seong Kim,7,FALSE
DOUG DENNIS,OF,batter,Cedric Mullins,20,FALSE
DOUG DENNIS,OF,batter,Taylor Ward,18,FALSE
DOUG DENNIS,OF,batter,Richie Palacios,9,FALSE
DOUG DENNIS,OF,batter,Mike Tauchman,8,FALSE
DOUG DENNIS,P,pitcher,Devin Williams,24,FALSE
DOUG DENNIS,P,pitcher,Max Fried,20,FALSE
DOUG DENNIS,P,pitcher,Bryan Woo,17,FALSE
DOUG DENNIS,P,pitcher,Drew Rasmussen,8,FALSE
DOUG DENNIS,P,pitcher,Jeffrey Springs,7,FALSE
DOUG DENNIS,P,pitcher,Cody Bradford,2,FALSE
DOUG DENNIS,P,pitcher,Garrett Whitlock,1,FALSE
DOUG DENNIS,P,pitcher,Kevin Kelly,1,FALSE
DOUG DENNIS,P,pitcher,Tommy Kahnle,1,FALSE
DOUG DENNIS,SS,batter,Carlos Correa,17,FALSE
DOUG DENNIS,SW,batter,Gio Urshela,2,FALSE
DOUG DENNIS,SW,batter,Josh Smith,1,FALSE
DOUG DENNIS,UT,batter,Tyler O'Neill,15,FALSE
GLENN COLTON/RICK WOLF,1B,batter,Yandy Diaz,20,FALSE
GLENN COLTON/RICK WOLF,2B,batter,Gleyber Torres,15,FALSE
GLENN COLTON/RICK WOLF,3B,batter,Ernie Clement,3,FALSE
GLENN COLTON/RICK WOLF,C,batter,Bo Naylor,11,FALSE
GLENN COLTON/RICK WOLF,C,batter,Jake Rogers,5,FALSE
GLENN COLTON/RICK WOLF,INF,batter,Jake Burger,18,FALSE
GLENN COLTON/RICK WOLF,OF,batter,Jazz Chisholm,37,FALSE
GLENN COLTON/RICK WOLF,OF,batter,Cody Bellinger,27,FALSE
GLENN COLTON/RICK WOLF,OF,batter,Lawrence Butler,26,FALSE
GLENN COLTON/RICK WOLF,OF,batter,Chas McCormick,6,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Hunter Brown,20,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Zach Eflin,12,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Gavin Williams,10,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Aroldis Chapman,5,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Jose Soriano,5,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Jackson Jobe,4,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Beau Brieske,1,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Yimi Garcia,1,FALSE
GLENN COLTON/RICK WOLF,P,pitcher,Yennier Cano,1,FALSE
GLENN COLTON/RICK WOLF,SS,batter,Bo Bichette,17,FALSE
GLENN COLTON/RICK WOLF,SW,batter,Mike Clevinger,6,FALSE
GLENN COLTON/RICK WOLF,SW,batter,Brandon Drury,1,FALSE
GLENN COLTON/RICK WOLF,UT,batter,Jacob Wilson,9,FALSE
