team_owner,position_slot,player_type,player_name,price,is_keeper
ALEX CHAMBERLAIN,1B,batter,Freddie Freeman,40,FALSE
ALEX CHAMBERLAIN,2B,batter,Jon Berti,4,FALSE
ALEX CHAMBERLAIN,3B,batter,Eugenio Suarez,27,FALSE
ALEX CHAMBERLAIN,C,batter,Salvador Perez,12,FALSE
ALEX CHAMBERLAIN,C,batter,Wilson Ramos,3,FALSE
ALEX CHAMBERLAIN,CI,batter,Justin Turner,3,FALSE
ALEX CHAMBERLAIN,MI,batter,Jake Cronenworth,3,FALSE
ALEX CHAMBERLAIN,OF,batter,Eddie Rosario,14,FALSE
ALEX CHAMBERLAIN,OF,batter,Tommy Pham,12,FALSE
ALEX CHAMBERLAIN,OF,batter,Charlie Blackmon,11,FALSE
ALEX CHAMBERLAIN,OF,batter,Raimel Tapia,6,FALSE
ALEX CHAMBERLAIN,OF,batter,AJ Pollock,5,FALSE
ALEX CHAMBERLAIN,OF,batter,Christian Walker,5,FALSE
ALEX CHAMBERLAIN,P,pitcher,Clayton Kershaw,24,FALSE
ALEX CHAMBERLAIN,P,pitcher,Kenta Maeda,23,FALSE
ALEX CHAMBERLAIN,P,pitcher,Hyun Jin Ryu,21,FALSE
ALEX CHAMBERLAIN,P,pitcher,Kenley Jansen,13,FALSE
ALEX CHAMBERLAIN,P,pitcher,Kirby Yates,11,FALSE
ALEX CHAMBERLAIN,P,pitcher,Corey Kluber,8,FALSE
ALEX CHAMBERLAIN,P,pitcher,Josh Lindblom,3,FALSE
ALEX CHAMBERLAIN,P,pitcher,Hector Neris,3,FALSE
ALEX CHAMBERLAIN,P,pitcher,Rich Hill,2,FALSE
ALEX CHAMBERLAIN,SS,batter,Didi Gregorius,7,FALSE
BRENT HERSHEY,1B,batter,Brandon Belt,2,FALSE
BRENT HERSHEY,2B,batter,Brandon Lowe,18,FALSE
BRENT HERSHEY,3B,batter,Jean Segura,8,FALSE
BRENT HERSHEY,C,batter,Willson Contreras,14,FALSE
BRENT HERSHEY,C,batter,Victor Caratini,1,FALSE
BRENT HERSHEY,CI,batter,Hunter Dozier,4,FALSE
BRENT HERSHEY,MI,batter,Kolten Wong,6,FALSE
BRENT HERSHEY,OF,batter,Cody Bellinger,38,FALSE
BRENT HERSHEY,OF,batter,Jeff McNeil,16,FALSE
BRENT HERSHEY,OF,batter,Mark Canha,9,FALSE
BRENT HERSHEY,OF,batter,Myles Straw,7,FALSE
BRENT HERSHEY,OF,batter,Jorge Soler,7,FALSE
BRENT HERSHEY,OF,batter,Wander Franco,4,FALSE
BRENT HERSHEY,P,pitcher,Aaron Nola,26,FALSE
BRENT HERSHEY,P,pitcher,Jack Flaherty,24,FALSE
BRENT HERSHEY,P,pitcher,Edwin Diaz,20,FALSE
BRENT HERSHEY,P,pitcher,Sixto Sanchez,8,FALSE
BRENT HERSHEY,P,pitcher,John Means,5,FALSE
BRENT HERSHEY,P,pitcher,Jordan Montgomery,5,FALSE
BRENT HERSHEY,P,pitcher,Tyler Mahle,3,FALSE
BRENT HERSHEY,P,pitcher,Tarik Skubal,3,FALSE
BRENT HERSHEY,P,pitcher,Adam Wainwright,2,FALSE
BRENT HERSHEY,SS,batter,Xander Bogaerts,30,FALSE
BRET SAYRE,1B,batter,Joey Votto,6,FALSE
BRET SAYRE,2B,batter,Tommy La Stella,1,FALSE
BRET SAYRE,3B,batter,Alex Bregman,28,FALSE
BRET SAYRE,C,batter,J.T. Realmuto,20,FALSE
BRET SAYRE,C,batter,Will Smith,13,FALSE
BRET SAYRE,CI,batter,Brian Anderson,2,FALSE
BRET SAYRE,MI,batter,Brendan Rodgers,1,FALSE
BRET SAYRE,OF,batter,Mookie Betts,45,FALSE
BRET SAYRE,OF,batter,Yordan Alvarez,15,FALSE
BRET SAYRE,OF,batter,Willie Calhoun,1,FALSE
BRET SAYRE,OF,batter,David Dahl,1,FALSE
BRET SAYRE,OF,batter,Jason Heyward,1,FALSE
BRET SAYRE,OF,batter,Justin Upton,1,FALSE
BRET SAYRE,P,pitcher,Jacob deGrom,46,FALSE
BRET SAYRE,P,pitcher,Ryan Pressly,19,FALSE
BRET SAYRE,P,pitcher,Jose Urquidy,9,FALSE
BRET SAYRE,P,pitcher,Mike Minor,1,FALSE
BRET SAYRE,P,pitcher,Chris Sale,1,FALSE
BRET SAYRE,P,pitcher,Drew Smyly,1,FALSE
BRET SAYRE,P,pitcher,Luke Weaver,1,FALSE
BRET SAYRE,P,pitcher,Giovanny Gallegos,1,FALSE
BRET SAYRE,P,pitcher,Alex Reyes,1,FALSE
BRET SAYRE,SS,batter,Trea Turner,45,FALSE
CJ KALTENBACH,1B,batter,Matt Carpenter,1,FALSE
CJ KALTENBACH,2B,batter,Ryan McMahon,5,FALSE
CJ KALTENBACH,3B,batter,Yoan Moncada,14,FALSE
CJ KALTENBACH,C,batter,Christian Vazquez,11,FALSE
CJ KALTENBACH,C,batter,Yadier Molina,5,FALSE
CJ KALTENBACH,CI,batter,Bobby Dalbec,5,FALSE
CJ KALTENBACH,MI,batter,Tim Anderson,21,FALSE
CJ KALTENBACH,OF,batter,Christian Yelich,40,FALSE
CJ KALTENBACH,OF,batter,Michael Brantley,10,FALSE
CJ KALTENBACH,OF,batter,Alex Kirilloff,8,FALSE
CJ KALTENBACH,OF,batter,Clint Frazier,7,FALSE
CJ KALTENBACH,OF,batter,Austin Hays,5,FALSE
CJ KALTENBACH,OF,batter,Cristian Pache,2,FALSE
CJ KALTENBACH,P,pitcher,Raisel Iglesias,19,FALSE
CJ KALTENBACH,P,pitcher,Sonny Gray,17,FALSE
CJ KALTENBACH,P,pitcher,Stephen Strasburg,16,FALSE
CJ KALTENBACH,P,pitcher,Zach Plesac,15,FALSE
CJ KALTENBACH,P,pitcher,Trevor Rosenthal,13,FALSE
CJ KALTENBACH,P,pitcher,Dylan Bundy,11,FALSE
CJ KALTENBACH,P,pitcher,Brady Singer,5,FALSE
CJ KALTENBACH,P,pitcher,Matt Barnes,2,FALSE
CJ KALTENBACH,P,pitcher,Spencer Turnbull,1,FALSE
CJ KALTENBACH,SS,batter,Adalberto Mondesi,27,FALSE
DEREK VANRIPER,1B,batter,Andrew Vaughn,4,FALSE
DEREK VANRIPER,2B,batter,Keston Hiura,17,FALSE
DEREK VANRIPER,3B,batter,Jose Ramirez,44,FALSE
DEREK VANRIPER,C,batter,James McCann,5,FALSE
DEREK VANRIPER,C,batter,Buster Posey,2,FALSE
DEREK VANRIPER,CI,batter,Isaac Paredes,1,FALSE
DEREK VANRIPER,MI,batter,Carlos Correa,12,FALSE
DEREK VANRIPER,OF,batter,Mike Trout,51,FALSE
DEREK VANRIPER,OF,batter,Kyle Schwarber,9,FALSE
DEREK VANRIPER,OF,batter,Nick Senzel,7,FALSE
DEREK VANRIPER,OF,batter,Ramon Laureano,5,FALSE
DEREK VANRIPER,OF,batter,Mauricio Dubon,1,FALSE
DEREK VANRIPER,OF,batter,J.D. Davis,1,FALSE
DEREK VANRIPER,P,pitcher,Walker Buehler,28,FALSE
DEREK VANRIPER,P,pitcher,Josh Hader,20,FALSE
DEREK VANRIPER,P,pitcher,Aaron Civale,6,FALSE
