team_owner,position_slot,player_type,player_name,price,is_keeper
ALAIN DE LEONARDIS,1B,batter,Spencer Steer,7,FALSE
ALAIN DE LEONARDIS,2B,batter,Otto Kemp,2,FALSE
ALAIN DE LEONARDIS,3B,batter,Austin Riley,25,FALSE
ALAIN DE LEONARDIS,C,batter,Freddy Fermin,8,FALSE
ALAIN DE LEONARDIS,C,batter,Keibert Ruiz,2,FALSE
ALAIN DE LEONARDIS,INF,batter,Masyn Winn,10,FALSE
ALAIN DE LEONARDIS,OF,batter,Bryan Reynolds,17,FALSE
ALAIN DE LEONARDIS,OF,batter,Mickey Moniak,11,FALSE
ALAIN DE LEONARDIS,OF,batter,Alek Thomas,1,FALSE
ALAIN DE LEONARDIS,OF,batter,Griffin Conine,1,FALSE
ALAIN DE LEONARDIS,P,pitcher,Yoshinobu Yamamoto,28,FALSE
ALAIN DE LEONARDIS,P,pitcher,Jesus Luzardo,25,FALSE
ALAIN DE LEONARDIS,P,pitcher,Eury Perez,19,FALSE
ALAIN DE LEONARDIS,P,pitcher,Raisel Iglesias,17,FALSE
ALAIN DE LEONARDIS,P,pitcher,Chad Patrick,5,FALSE
ALAIN DE LEONARDIS,P,pitcher,Richard Fitts,1,FALSE
ALAIN DE LEONARDIS,P,pitcher,Tanner Scott,1,FALSE
ALAIN DE LEONARDIS,P,pitcher,Chris Paddack,1,FALSE
ALAIN DE LEONARDIS,P,pitcher,Graham Ashcraft,1,FALSE
ALAIN DE LEONARDIS,SS,batter,Geraldo Perdomo,26,FALSE
ALAIN DE LEONARDIS,SW,batter,Gregory Soto,1,FALSE
ALAIN DE LEONARDIS,SW,batter,Christian Scott,1,FALSE
ALAIN DE LEONARDIS,UT,batter,Shohei Ohtani,50,FALSE
BRIAN WALTON,1B,batter,Rafael Devers,28,FALSE
BRIAN WALTON,2B,batter,Ozzie Albies,17,FALSE
BRIAN WALTON,3B,batter,Noelvi Marte,16,FALSE
BRIAN WALTON,C,batter,Carson Kelly,7,FALSE
BRIAN WALTON,C,batter,Liam Hicks,2,FALSE
BRIAN WALTON,INF,batter,Spencer Horwitz,4,FALSE
BRIAN WALTON,OF,batter,Pete Crow-Armstrong,29,FALSE
BRIAN WALTON,OF,batter,Luis Robert Jr.,19,FALSE
BRIAN WALTON,OF,batter,Daylen Lile,14,FALSE
BRIAN WALTON,OF,batter,Jake Bauers,1,FALSE
BRIAN WALTON,P,pitcher,Zack Wheeler,19,FALSE
BRIAN WALTON,P,pitcher,Matthew Boyd,17,FALSE
BRIAN WALTON,P,pitcher,Ryan Walker,15,FALSE
BRIAN WALTON,P,pitcher,Aaron Nola,13,FALSE
BRIAN WALTON,P,pitcher,Dustin May,6,FALSE
BRIAN WALTON,P,pitcher,JoJo Romero,6,FALSE
BRIAN WALTON,P,pitcher,Quinn Priester,3,FALSE
BRIAN WALTON,P,pitcher,Riley O'Brien,3,FALSE
BRIAN WALTON,P,pitcher,Orion Kerkering,1,FALSE
BRIAN WALTON,SS,batter,JJ Wetherholt,16,FALSE
BRIAN WALTON,SW,batter,Tommy Edman,3,FALSE
BRIAN WALTON,SW,batter,Will Benson,1,FALSE
BRIAN WALTON,UT,batter,Ivan Herrera,20,FALSE
DEREK CARTY,1B,batter,Bryce Harper,29,FALSE
DEREK CARTY,2B,batter,Jake Cronenworth,12,FALSE
DEREK CARTY,3B,batter,Nolan Arenado,8,FALSE
DEREK CARTY,C,batter,Will Smith,20,FALSE
DEREK CARTY,C,batter,J.T. Realmuto,13,FALSE
DEREK CARTY,INF,batter,Xander Bogaerts,15,FALSE
DEREK CARTY,OF,batter,Adolis Garcia,13,FALSE
DEREK CARTY,OF,batter,Mike Yastrzemski,7,FALSE
DEREK CARTY,OF,batter,Jordan Walker,6,FALSE
DEREK CARTY,OF,batter,Brandon Marsh,5,FALSE
DEREK CARTY,P,pitcher,Mason Miller,26,FALSE
DEREK CARTY,P,pitcher,Nick Pivetta,22,FALSE
DEREK CARTY,P,pitcher,Emmet Sheehan,20,FALSE
DEREK CARTY,P,pitcher,Shota Imanaga,17,FALSE
DEREK CARTY,P,pitcher,Braxton Ashcraft,7,FALSE
DEREK CARTY,P,pitcher,Sean Manaea,6,FALSE
DEREK CARTY,P,pitcher,Jameson Taillon,5,FALSE
DEREK CARTY,P,pitcher,Phil Maton,1,FALSE
DEREK CARTY,P,pitcher,Jonah Tong,1,FALSE
DEREK CARTY,SS,batter,Dansby Swanson,20,FALSE
DEREK CARTY,SW,batter,Jake McCarthy,2,FALSE
DEREK CARTY,SW,batter,Hyeseong Kim,1,FALSE
DEREK CARTY,UT,batter,Connor Norby,4,FALSE
ERIK HALTERMAN,1B,batter,Carlos Santana,3,FALSE
ERIK HALTERMAN,2B,batter,Bryson Stott,16,FALSE
ERIK HALTERMAN,3B,batter,Nolan Gorman,7,FALSE
ERIK HALTERMAN,C,batter,Tyler Stephenson,8,FALSE
ERIK HALTERMAN,C,batter,Jose Trevino,1,FALSE
ERIK HALTERMAN,INF,batter,Ha-Seong Kim,2,FALSE
ERIK HALTERMAN,OF,batter,Kyle Tucker,36,FALSE
ERIK HALTERMAN,OF,batter,Corbin Carroll,35,FALSE
ERIK HALTERMAN,OF,batter,Brenton Doyle,17,FALSE
ERIK HALTERMAN,OF,batter,Sal Frelick,10,FALSE
ERIK HALTERMAN,P,pitcher,Freddy Peralta,23,FALSE
ERIK HALTERMAN,P,pitcher,Jhoan Duran,22,FALSE
ERIK HALTERMAN,P,pitcher,Jacob Misiorowski,12,FALSE
ERIK HALTERMAN,P,pitcher,Edward Cabrera,12,FALSE
ERIK HALTERMAN,P,pitcher,Ryne Nelson,6,FALSE
ERIK HALTERMAN,P,pitcher,Andrew Painter,4,FALSE
ERIK HALTERMAN,P,pitcher,Grant Holmes,2,FALSE
ERIK HALTERMAN,P,pitcher,Foster Griffin,2,FALSE
ERIK HALTERMAN,P,pitcher,Brad Keller,1,FALSE
ERIK HALTERMAN,SS,batter,Joey Ortiz,5,FALSE
ERIK HALTERMAN,SW,batter,Garrett Mitchell,2,FALSE
ERIK HALTERMAN,SW,batter,Troy Johnston,1,FALSE
ERIK HALTERMAN,UT,batter,Kyle Schwarber,33,FALSE
GREY ALBRIGHT,1B,batter,Edouard Julien,3,FALSE
GREY ALBRIGHT,2B,batter,Willi Castro,14,FALSE
GREY ALBRIGHT,3B,batter,Eugenio Suarez,22,FALSE
GREY ALBRIGHT,C,batter,Agustin Ramirez,18,FALSE
GREY ALBRIGHT,C,batter,Luis Campusano,1,FALSE
GREY ALBRIGHT,INF,batter,Mark Vientos,9,FALSE
GREY ALBRIGHT,OF,batter,Juan Soto,50,FALSE
GREY ALBRIGHT,OF,batter,Fernando Tatis Jr.,37,FALSE
GREY ALBRIGHT,OF,batter,TJ Friedl,10,FALSE
