,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ZINKIE,,MINNIX,,HEANEY,,DIFINO,,MCCAFFREY,,MACK,,GONOS,,SWANAY,,SCHWARTZ,,TRACHTMAN,,SINGMAN,,DAVITT,,FLOWERS,,VAN RIPER,,STEINHORN,
,,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,1,Left to Spend,0,Left to Spend,1,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,15,Left to Spend,0,Left to Spend,7,Left to Spend,0,Left to Spend,0
,,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,2,Max Bid,1,Max Bid,2,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,16,Max Bid,1,Max Bid,8,Max Bid,1,Max Bid,1
,,Montero,16,Martin,7,Soto,7,Doumit,6,Mauer,17,McCann,17,Arencibia,8,C.Santana,24,Montero,14,Posey,16,Hundley,3,Napoli,23,Kurt Suzuki,7,Flowers,1,Ianetta,5
,C,Wieters,19,Ruiz,3,Mesoraco,1,Pierzynski,2,R. Hernandez,3,Avila,14,Sal Perez,1,Lucroy,6,Hanigan,1,Y.Molina,12,Saltalamacchia,7,Torrealba,1,Buck,4,Donaldson,4,W.Ramos,10
,1B,Votto,39,Lind,13,Fielder,31,Miguel Cabrera,41,Moreland,1,Berkman,11,Adrian Gonzales,40,Morse,16,Goldshmidt,18,Pedro Alvarez,1,Howard,7,Pujols,43,Gaby Sanchez,12,Konerko,20,Teixeira,34
,3B,Reynolds,16,Wright,22,Zimmerman,23,Alex Rodriguez,19,Beltre,30,Freese,2,Aramis Ramirez,17,Gamel,3,E.Encarnacion,9,Michael Young,19,Lawrie,28,Longoria,33,Pablo Sandoval,23,Bautista,37,Youkilis,21
,CI,Mayberry,4,Prado,16,Ike Davis,13,Dunn,9,Trumbo,6,Morneau,8,Chisenhall,1,Morales,13,Hosmer,26,Pena,5,J.Peralta,8,Jesus Guzman,1,C. Lee,8,Smoak,1,Loney,4
,2B,K. Johnson,8,Phillips,25,Rickie Weeks,17,Infante,2,Weeks,16,B. Roberts,1,Zobrist,25,Walker,10,Kinsler,31,Pedroia,36,Kipnis,7,Cano,39,Utley,6,Raburn,1,Uggla,22
