GARDNER,,WALTON,,COCKCROFT,,KREUTZER,,WILDERMAN,,MELNICK,,ZOLA,,GIANELLA,,HERTZ,,PETERSON,,CARTY,,PIANOWSKI,,RAVITZ,,,
,,Left to Spend,0,Left to Spend,8,Left to Spend,0,Left to Spend,0,Left to Spend,1,Left to Spend,0,Left to Spend,2,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,1
,,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,,Max Bid,1,Max Bid,9,Max Bid,1,Max Bid,1,Max Bid,2,Max Bid,1,Max Bid,3,Max Bid,1,Max Bid,#VALUE!,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,2
,C,Thole,8,Buck,10,Kottaras,2,Posey,19,Flores,2,Ellis,2,Montero,18,McCann,21,Y. Molina,15,Soto,13,R. Hernandez,12,Lucroy,10,W. Castillo,1
,C,Rosario,4,Castro,3,Ross,2,Mesoraco,8,Hayes,1,Whiteside,1,Ramos,13,Grandall,1,Snyder,4,Pacheco,4,Barajas,7,Hannigan,8,Baker,1
,1B,Duda,20,Howard,15,Davis,19,G. Sanchez,19,Belt,12,G.Jones,11,C. Lee,21,Huff,10,Loney,17,Goldschmidt,18,Helton,11,Freeman,22,Votto,41
,3B,Sandoval,27,Wright,22,Prado,18,A. Ramirez,23,C. Johnson,5,Gamel,17,Hairston,2,Hudson,6,Headley,20,Zimmerman,29,Jones,8,Freese,15,Kennedy,1
,CI,Lahair,11,Alvarez,5,Stewart,11,Arenado,3,Campana,7,Harrison,1,Wallace,2,Rolen,12,Nelson,4,Adam LaRoche,9,Morse,24,McGehee,7,Guzman,9
,2B,Infante,11,R. Roberts,16,Downs,1,Ellis,3,Hill,15,Walker,19,Altuve,17,Polanco,12,Barney,5,Rickie Weeks,23,Greene,5,Phillips,27,Uggla,28
,SS,Lowrie,11,Desmond,18,S. Castro,27,Bonifacio,17,Gordon,22,H. Ramirez,39,Cozart,13,Furcal,10,B. Crawford,1,Tulowitzki,37,Bartlett,10,Reyes,30,Bloomquist,6
,MI,Pasternicky,4,Burriss,2,Gonzalez,6,F. Sanchez,3,Utley,10,Barmes,1,Scutaro,14,Drew,9,Cuddyer,28,Espinosa,18,Uribe,4,Rollins,22,Ruben Tejada,3
,OF,C. Gonzalez,39,Cabrera,18,Braun,39,Stubbs,26,G. Stanton,32,Pence,33,JD Martinez,13,Bourn,29,Bruce,34,C. Young,22,Upton,38,Morgan,11,Kemp,42
,OF,Tabata,19,Werth,25,McCutchen,34,Heyward,22,Hart,22,Holliday,32,Kubel,16,Harper,4,Victorino,29,Jordan Schafer,14,Fowler,19,Wigginton,13,Pressley,14
,OF,Byrd,12,Beltran,19,Ankiel,1,Heisey,15,Morrison,18,Maybin,28,Pagan,17,Alonso,11,Ethier,23,"Young, Jr",7,Jay,11,Bougesivic,6,Gwynn Jr.,3
,OF,McClouth,4,Torres,7,Rizzo,1,Juan Rivera,9,A.Soriano,13,Venable,14,Craig,17,Quentin,9,Parra,7,Bernadina,1,Ludwick,6,Gomez,3,Berkman,20
,UT,Blanks,3,Murphy,15,Frazier,1,Overbay,2,Mayberry,14,Nix,1,Hundley,10,Bay,13,Brandon Wood,1,Taylor Green,2,Schierholtz,7,DeRosa,2,D. Brown,1
,SW,De La Rosa,4,Decalso,4,Casilla,2,Pierre,6,Sands,3,Blanco,1,Ruiz,9,David DeJesus,9,Everth Cabrera,1,Shuck,1,Blake,5,Francisco,2,Thome,2
,P,Lincecum,25,Kennedy,17,Worley,8,Strasburg,22,Buehrle,8,Hanson,16,Zimmermann,17,Halladay,29,Luebke,18,D. Hudson,18,Cain,22,Kershaw,32,Greinke,27
,P,Beachy,16,J. Johnson,16,Gallardo,22,W. Rodriguez,12,Garza,19,G. Gonzalez,15,Marcum,13,Hamels,23,Lilly,16,Richard,1,Dempster,11,Lohse,3,C. Lee,27
,P,A.J. Burnett,4,Medlen,4,Bumgarner,21,Cueto,12,Latos,16,Wainwright,20,Mosley,2,E.Jackson,6,Volstad,3,Narvason,3,A.Sanchez,11,Cashner,3,Bauer,4
,P,Santana,8,J.Garcia,14,S. Miller,1,Norris,10,T. Hudson,9,McDonald,3,Surkamp,2,Billingsley,6,Nicasio,6,Zambrano,3,Stauffer,7,Cahill,7,R.Ramirez,1
,P,O'Flaherty,1,Carpenter,6,Chapman,5,Jurrjens,8,Collmenter,3,Correia,1,Estrada,1,Bastardo,2,Bailey,4,Guthrie,3,Bedard,7,Capuano,5,Wolf,4
,P,Delgado,1,Pommeranz,2,Chacin,6,Niese,8,Lynn,4,Kendrick,1,Teheran,2,Gee,3,Brach,1,K. Weiland,1,Dickey,5,Oswalt,1,Blanton,1
,P,Arroyo,1,Gregerson,3,Minor,8,Leake,5,Nolasco,6,Harrang,2,Venters,7,H. Rodriguez,1,Romo,3,D. Hernandez,4,Sanchez,1,Vogelsong,4,Westbrook,1
,P,Wilson,14,Clippard,7,Guerra,10,Volquez,6,Salas,3,Rauch,1,Motte,17,Marmol,15,Lidge,2,Jansen,11,Storen,12,Myers,13,Samardzija,1
,P,Marshall,13,Francisco Rodriguez,4,Putz,15,Brothers,2,H. Bell,15,Affeldt,1,Street,15,Papelbon,19,Hanrahan,18,Axford,18,Betancourt,17,Francisco,14,Kimbrel,21
,R,Coghlan,,Lyles,,Galvis,,Colvin,,Lee,,d'Arnaud,,Paredes,,K.Wood,,Aoki,,Eovaldi,,Erlin,,S. Hairston,,Turner,
,R,Zito,,Simmons,,Damon,,Matt Adams,,W. Harris,,Pill,,Karstens,,B. Jackson,,J.Arrendando,,Darnell,,Fires,,Schumaker,,Harvey,
,R,Denorfia,,Pelfrey,,Hague,,Theriot,,Saunders,,Wells,,Fontenot,,Happ,,Parnell,,D. Carpenter,,Martinez,,Herrera,,Mujica,
,R,Baker,,Diaz,,Valdespin,,Sanabia,,Paul,,Podsednik,,Chisek,,Travis Wood,,Lombardazzi,,Constanza,,Navarro,,Nady,,Maholm,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hitting,177,Hitting,179,Hitting,164,Hitting,175,Hitting,176,Hitting,200,Hitting,182,Hitting,156,Hitting,189,Hitting,198,Hitting,167,Hitting,178,Hitting,172
,,Pitching,83,Pitching,73,Pitching,96,Pitching,85,Pitching,83,Pitching,60,Pitching,76,Pitching,104,Pitching,71,Pitching,62,Pitching,93,Pitching,82,Pitching,87
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,checked,,checked,,,,checked,,,,,,,,checked,,checked,,checked,,,,,,checked,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
