,GARDNER,,MASON, ,ALBRIGHT,,HERTZ,,MISH,,MELNICK,,WALTON,,BEHRENS,,ZOLA,,WILDERMAN,,COCKCROFT,,CARTY,,,,,,,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,,,,,,
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,,,,,,
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,,,,,,
C,W. Ramos,10,F. Cervelli,9,C. Iannetta,5,K. Suzuki,3,J. Realmuto,22,M. Wieters,1,Y. Gomes,6,W. Contreras,13,A. Hedges,4,Y. Grandal,16,R. Martin,1,Y. Molina,9,,,,,,
C,F. Mejia,5,B. Posey,14,A. Avila,6,B. McCann,3,E. Diaz,1,T. d'Arnaud,1,J. Alfaro,5,C. Kelly,2,T. Flowers,3,T. Barnhart,6,T. Murphy,1,A. Barnes,5,,,,,,
1B,J. Votto,29,P. Goldschmidt,36,P. Alonso,10,A. Rizzo,32,J. Aguilar,23,I. Desmond,18,F. Freeman,35,J. Martinez,8,M. Carpenter,27,C. Bellinger,32,R. Braun,14,E. Hosmer,19,,,,,,
3B,N. Arenado,36,J. Donaldson,25,M. Machado,30,J. Turner,24,J. Kang,4,W. Myers,26,M. Muncy,25,A. Rendon,29,B. Anderson,13,E. Suarez,25,J. Camargo,5,M. Moustakas,19,,,,,,
CI,J. Gyorko,3,R. McMahon,9,R. Zimmerman,12,B. Belt,17,T. Shaw,25,J. Lamb,17,D. Dietrich,1,P. O'Brien,4,T. Frazier,5,M. Adams,5,W. Flores,9,J. Bell,17,,,,,,
2B,S. Gennett,19,H. Perez,5,E. Hernandez,8,N. Walker,5,J. McNeil,7,O. Albies,22,G. Hampson,18,S. Castro,11,D. Murphy,25,B. Zobrist,7,R. Cano,19,B. Dozier,19,,,,,,
SS,D. Swanson,6,P. DeJong,10,T. Turner,38,A. Rosario,20,B. Crawford,7,J. Baez,29,K. Marte,13,C. Seager,19,O. Arcia,7,C. Taylor,15,J. Peraza,22,T. Story,30,,,,,,
MI,K. Hiura,2,J. Lowrie,8,J. Riddle,1,K. Wong,5,B. Rodgers,2,S. Kingery,7,J. Panik,3,J. Segura,28,N. Senzel,16,L. Urias,7,C. Hernandez,16,E. Escobar,12,,,,,,
OF,A. Pollock,22,V. Robles,25,J. Soto,33,A. McCutchen,25,R. Acuna,36,R. Hoskins,32,M. Conforto,27,D. Peralta,19,J. Winker,16,C. Yelich,35,S. Marte,27,K. Schwarber,17,,,,,,
OF,H. Bader,15,M. Margot,7,D. Dahl,22,K. Bryant,31,N. Markakis,10,Y. Puig,27,A. Eaton,15,C. Blackmon,29,L. Cain,27,H. Renfroe,12,B. Harper,40,C. Dickerson,11,,,,,,
OF,O. Herrera,13,F. Cordero,6,S. Schebler,4,B. Nimmo,19,E. Inciarte,17,I. Happ,14,M. Ozuna,18,A. Jones,5,T. O'Neill,6,S. Souza,13,J. Pederson,11,F. Reyes,12,,,,,,
OF,N. Williams,1,A. Duvall,3,D. Fowler,5,L. Brinson,7,L. Chisenhall,1,M. Kemp,4,G. Polanco,10,M. Williamson,3,A. Frazier,10,M. Taylor,3,C. Granderson,2,K. Broxton,1,,,,,,
UT,R. Quinn,2,Y.Cespedes,2,C. Moran,5,Y. Solarte,1,S. Duggar,5,C. Maybin,1,F. Tatis,6,I. Kinsler,4,A. Hanson,1,J. Heyward,3,N. Ahmed,3,E. Longoria,11,,,,,,
SW,C. Walker,1,A. Russell,1,G. Cooper,1,D. Smith,1,G. Parra,1,P. Ervin,1,J. Dyson,2,A. Almora,3,E. Thames,5,A. Dean,1,A. Verdugo,3,M. Franco,11,,,,,,
P,F. Vazquez,17,M. Scherzer,41,C. Paddack,9,C. Kershaw,22,J. deGrom,42,J. Taillon,22,S. Strasburg,22,N. Syndergaard,26,M. Mikolas,19,P. Corbin,22,A. Nola,30,S. Doolittle,15,,,,,,
P,W. Buehler,23,C. Kimbrel,8,Z. Wheeler,19,W. Smith,8,C. Smith,6,M. Bumgarner,13,C. Knebel,12,Z. Greinke,21,K. Yates,17,R. Hill,13,E. Diaz,21,J. Hader,12,,,,,,
P,R. Ray,16,K. Jansen,19,R. Iglesias,14,J. Musgrove,11,J. Flaherty,20,B. Morrow,4,H. Ryu,8,M. Strahm,6,D. Robertson,12,C. Archer,16,A. Bradley,7,K. Maeda,12,,,,,,
P,J. Hicks,6,R. Stripling,10,S. Matz,7,Y. Darvish,10,S. Dominguez,5,C. Hamels,11,N. Pivetta,14,P. Strop,7,A. Vizcaino,8,W. Davis,15,A. Minter,3,S. Gray,6,,,,,,
P,A. Miller,6,K. Freeland,3,J. Quintana,10,L. Weaver,3,J. Arrieta,11,T. Williams,4,A. Wood,6,D. Keuchel,4,J. Lester,6,K. Gausman,8,J. Gray,9,D. Steckenrider,4,,,,,,
P,Z. Godley,6,J. Nelson,7,G. Marquez,13,B. Woodruff,4,S. Romo,6,J. Hughes,1,A. Reyes,6,J. Lucchesi,10,K. Hendricks,13,D. Straily,2,L. Castillo,14,Ani Sanchez,7,,,,,,
P,M. Foltynewicz,12,T. Rosenthal,3,D. Rodriguez,2,C. Burnes,4,K. Wright,4,E. Lauer,1,M. Wacha,4,A. Conley,2,Z. Eflin,8,W. Chen,1,R. Erlin,1,S. Newcomb,3,,,,,,
P,T. Toussaint,4,C. Martinez,6,A. DeSclafani,3,D. Holland,3,P. Lopez,4,J. Hellickson,2,J. Teheran,2,J. Chacin,5,T. Richards,7,C. Edwards,1,M. Kelly,1,V. Velasquez,5,,,,,,
P,J. Urias,6,J. Samardzija,3,J. Urena,3,J. Familia,2,Y. Lopez,1,M. Melancon,2,C. Anderson,2,Y. Hirano,2,F. Peralta,5,T. Roark,2,D. Hudson,1,T. Anderson,3,,,,,,
R,D. Pomeranz,,M. Reynolds,,G. Holland,,W. Difo,,J. Gant,,S. Cishek,,M. Soroka,,D. Freese,,A. Slater,,E. Gonzalez,,L. Allen,,D. Descalso,,,,,,,
R,N. Kingham,,B. Wilson,,A. Suarez,,M. Fried,,M. Rojas,,B. Gamel,,Y. Munoz,,V. Caratini,,R. Tapia,,J. Osuna,,Z. Davies,,A. Senzatela,,,,,,,
R,H. Kendrick,,I. Diaz,,J. Lagares,,K. Newman,,K. Hayes,,G. Gonzalez,,J. Kelly,,D. Hernandez,,C. Stammen,,J. Jeffress,,A. Riley,,D. Lamet,,,,,,,
R,M. Sierra,,C. Shaw,,M. Cabrera,,M. Keller,,A. Stevenson,,A. Wainwright,,A. Altherr,,M. Montgomery,,S. Lugo,,T. Watson,,H. Neris,,K. Kela,,,,,,,
,GARDNER,,MASON, ,ALBRIGHT,,HERTZ,,MISH,,MELNICK,,WALTON,,BEHRENS,,ZOLA,,WILDERMAN,,COCKCROFT,,CARTY,,,,,,,
,1,,7,,3,,4,,8,,12,,9,,10,,11,,5,,2,,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,164,,160,,180,,193,,161,,200,,184,,177,,165,,180,,173,,193,,0,,0,,0
,,96,,100,,80,,67,,99,,60,,76,,83,,95,,80,,87,,67,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2128,,68.21%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,992,,31.79%,,,,,,,,,,,,,,,,,,,,,,,,,,
