,Phil Hertz,,Brian Walton,,Grey Albright,,Derek Carty,,Tristan Cockcroft,,Scott Wilderman,,Steve Gardner,,Peter Kreutzer,,Todd Zola,,Lenny Melnick,,Justin Mason,,Fred Zinkie,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1
C,Buster Posey,10,Tucker Barnhart,5,Austin Hedges,1,Travis d'Arnaud,6,Joey Bart,1,Willson Contreras,17,Yan Gomes,3,Wilson Ramos,13,Dom Nunez,1,Stephen Vogt,1,Jorge Alfaro,7,Victor Caratini,2
C,Jacob Stallings,2,Carson Kelly,12,Manny Pina,1,Kurt Suzuki,7,Tyler Flowers,2,Omar Narvaez,13,Francisco Mejia,5,Will Smith,14,J.T. Realmuto,24,Tony Wolters,1,Tyler Stephenson,1,Yadier Molina,9
1B,Anthony Rizzo,31,Paul Goldschmidt,28,Cody Bellinger,41,Joey Votto,20,Josh Bell,27,Pete Alonso,29,Daniel Murphy,14,Dominic Smith,1,Jake Lamb,2,Rhys Hoskins,27,Justin Smoak,15,Christian Walker,22
3B,Evan Longoria,12,Justin Turner,25,Ke'Bryan Hayes,1,Eugenio Suarez,27,J.D. Davis,16,Johan Camargo,2,Manny Machado,27,Nolan Arenado,35,Asdrubal Cabrera,7,Scott Kingery,23,Matt Carpenter,13,Tommy Edman,15
CI,Brandon Belt,15,Alec Bohm,2,Josh VanMeter,1,Eric Thames,12,Ryan McMahon,17,Freddie Freeman,34,Howie Kendrick,6,Jose Osuna,2,Colin Moran,3,Jay Bruce,1,Max Muncy,30,Jesus Aguilar,10
2B,Jeff McNeil,24,Jurickson Profar,10,Gavin Lux,15,Adam Frazier,5,Jonathan Villar,26,Isan Diaz,4,Kolten Wong,16,Ozzie Albies,27,Starlin Castro,13,Eduardo Escobar,23,Robinson Cano,9,Wilmer Flores,4
SS,Amed Rosario,22,Corey Seager,21,Nico Hoerner,3,Nick Ahmed,9,Trea Turner,34,Didi Gregorius,16,Jean Segura,19,Freddy Galvis,7,Jon Berti,12,Javier Baez,26,Garrett Hampson,12,Fernando Tatis Jr.,30
MI,Chris Taylor,3,Luis Urias,4,Keston Hiura,23,Brandon Crawford,2,Kevin Newman,14,Mauricio Dubon,5,Brendan Rodgers,2,Mike Moustakas,22,Jason Kipnis,1,Paul DeJong,20,Eric Sogard,1,Trevor Story,34
