,Glenn Colton/Rick Wolf,,Ryan Bloomfield,,Rob Leibowitz,,Patrick Davitt,,Howard Bender,,Jason Collette,,Jeff Erickson,,Larry Schechter,,Doug Dennis,,Mike Podhorzer,,Joe Sheehan,,Chris Blessing,,,
C,Tom Murphy,1,Cal Raleigh,1,MJ Melendez,1,Francisco Mejia,3,Kyle Higashioka,2,Luis Torrens,4,Gabriel Moreno,1,Ryan Jeffers,5,Kevin Plawecki,2,Martin Maldonado,1,Eric Haase,2,Mike Zunino,4,,
C,Kurt Suzuki,1,Gary Sanchez,11,Alejandro Kirk,9,Salvador Perez,23,Christian Vazquez,10,Danny Jansen,7,Tucker Barnhart,4,Yasmani Grandal,21,Adley Rutschman,7,Mitch Garver,16,Max Stassi,3,Sean Murphy,10,,
1B,Bobby Dalbec,15,Bobby Bradley,3,Carlos Santana,10,Yuli Gurriel,13,Spencer Torkelson,12,Trey Mancini,16,Vladimir Guerrero Jr.,36,Jose Abreu,22,Miguel Cabrera,5,Anthony Rizzo,22,Andrew Vaughn,10,Ryan Mountcastle,18,,
3B,Jeimer Candelario,17,Santiago Espinal,1,Anthony Rendon,20,Tyler Wade,5,Yoan Moncada,19,Yandy Diaz,10,Rafael Devers,34,Eugenio Suarez,17,Jose Ramirez,43,Jose Miranda,1,Abraham Toro,2,Aledmys Diaz,1,,
CI,Alex Kirilloff,14,Eric Thames,1,Nick Pratto,3,Ji-Man Choi,5,Matt Chapman,20,Rougned Odor,4,Josh Donaldson,17,DJ LeMahieu,16,Gio Urshela,2,Nathaniel Lowe,15,Luis Arraez,9,Jared Walsh,23,,
2B,Gleyber Torres,18,Josh Harrison,10,Jose Altuve,24,Brandon Lowe,26,Andres Gimenez,11,Enrique Hernandez,16,Adam Frazier,9,Jonathan Schoop,9,Marcus Semien,25,Whit Merrifield,28,Vidal Brujan,3,Javier Baez,26,,
SS,Tim Anderson,25,Corey Seager,22,Bobby Witt Jr.,16,Xander Bogaerts,27,Bo Bichette,39,Amed Rosario,18,Jorge Polanco,22,David Fletcher,6,Isiah Kiner-Falefa,11,Ramon Urias,3,Carlos Correa,25,Trevor Story,32,,
MI,Ty France,15,Nicky Lopez,13,Jed Lowrie,1,Jorge Mateo,7,Nick Solak,6,Tony Kemp,8,Andy Ibanez,2,J.P. Crawford,6,Jeremy Pena,3,Adalberto Mondesi,21,Wander Franco,25,Taylor Walls,1,,
OF,Max Kepler,10,Aaron Hicks,3,Steven Kwan,1,Kole Calhoun,2,Oscar Mercado,2,Tommy Pham,17,Adolis Garcia,7,Dylan Moore,1,Josh Lowe,5,Gavin Sheets,1,Riley Greene,9,Justin Upton,1,,
OF,Myles Straw,22,Robbie Grossman,18,Kyle Lewis,6,Josh Naylor,2,Austin Hays,11,Andrew Benintendi,19,Michael Brantley,7,Michael A. Taylor,5,Michael Conforto,19,Seth Brown,7,Jo Adell,10,Willie Calhoun,2,,
OF,Eloy Jimenez,23,Teoscar Hernandez,30,Jarred Kelenic,15,Julio Rodriguez,6,Alex Verdugo,14,Joey Gallo,24,Brandon Marsh,7,Jorge Soler,14,Aaron Judge,31,Manuel Margot,8,Luis Robert,35,Akil Baddoo,17,,
OF,Yordan Alvarez,33,Mike Trout,38,Mitch Haniger,18,Cedric Mullins,26,Austin Meadows,17,Byron Buxton,26,Ramon Laureano,13,Randy Arozarena,27,George Springer,33,Jesse Winker,18,Kyle Tucker,39,Lourdes Gurriel Jr.,18,,
UT,Jose Trevino,1,Kevin Kiermaier,1,Giancarlo Stanton,23,Kevin Smith,13,Hunter Dozier,3,Jarren Duran,1,Randal Grichuk,2,Jackie Bradley Jr.,1,Trevor Larnach,1,Miguel Sano,14,Anthony Santander,7,Adam Engel,1,,
SW,Cristian Pache,1,J.D. Martinez,24,Franmil Reyes,24,Brad Miller,6,Brady Singer,1,Bradley Zimmer,6,Chas McCormick,2,Shohei Ohtani (H),34,Cavan Biggio,12,Alex Bregman,22,Ryan Tepera,1,Daniel Lynch,1,,
P,Michael Wacha,1,Dylan Bundy,2,Nestor Cortes Jr.,1,James Kaprielian,1,Cole Irvin,1,Zack Greinke,2,Drew Steckenrider,1,Tyler Duffey,1,Trevor Rosenthal,1,George Kirby,1,Garrett Crochet,1,Cody Morris,1,,
P,Reid Detmers,1,Hector Neris,5,Tim Mayza,1,Nate Pearson,1,Matt Manning,1,Dane Dunning,2,Ken Giles,4,Rich Hill,1,Clay Holmes,1,Matt Brash,1,Julian Merryweather,1,Nick Pivetta,2,,
P,Josh Staumont,2,Luis Patino,5,Colin Poche,1,Aaron Bummer,2,Jake Diekman,2,Zach Plesac,3,Yusei Kikuchi,6,Mike Mayers,1,James Karinchak,4,Drew Rasmussen,4,Garrett Richards,1,Tyler A. Wells,3,,
P,Kendall Graveman,2,Michael Pineda,5,Pete Fairbanks,4,Carlos Hernandez,3,Cole Sulser,7,Michael Fulmer,5,Triston McKenzie,7,Jon Gray,5,Garrett Whitlock,6,Lance McCullers Jr.,5,Cristian Javier,6,Bailey Ober,7,,
