ki,Mike Podhorzer,,Ian Kahn,,Rick Wolf/Glenn Colton,,Chris Blessing,,Patrick Davitt,,Rob Leibowitz,,Andy Andres,,Larry Schechter,,Doug Dennis,,Jason Collette,,Jeff Erickson,,Raphael Rabe,,,,,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,3,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,4,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,17,,,,
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,,,,
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,4,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,5,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,18,,,,
C,Gary Sanchez,3,Travis d'Arnaud,3,Bo Naylor,11,Connor Wong,11,Ryan Jeffers,15,Adley Rutschman,22,Cal Raleigh,23,Shea Langeliers,15,Austin Wells,16,Logan O'Hoppe,19,Yainer Diaz,17,Salvador Perez,19,,,,
C,Korey Lee,1,Mitch Garver,7,Jake Rogers,5,Dillon Dingler,1,Danny Jansen,13,Freddy Fermin,2,Alejandro Kirk,13,David Fry,1,Kyle Higashioka,2,Victor Caratini,3,Kyle Teel,2,Jonah Heim,9,,,,
1B,Nolan Schanuel,13,Paul Goldschmidt,18,Yandy Diaz,20,Seth Brown,1,Andrew Vaughn,11,Christian Walker,21,Isaac Paredes,19,Luke Raley,12,Triston Casas,21,Vinnie Pasquantino,19,Jonathan Aranda,13,Vladimir Guerrero,40,,,,
3B,Luis Rengifo,12,Josh Jung,9,Ernie Clement,3,Jose Ramirez,42,Jordan Westburg,19,Alex Bregman,24,Oswaldo Cabrera,4,Josh Rojas,6,Royce Lewis,18,Dylan Moore,12,Junior Caminero,19,Rafael Devers,28,,,,
2B,Jonathan India,17,Brandon Lowe,13,Gleyber Torres,15,Will Wagner,1,Andres Gimenez,17,Marcus Semien,21,Mauricio Dubon,1,Jose Caballero,9,Jose Altuve,25,Zack Gelof,18,Kristian Campbell,7,Colt Keith,11,,,,
SS,Brayan Rocchio,7,Bobby Witt,42,Bo Bichette,17,Willi Castro,14,Jeremy Pena,17,Zach Neto,17,Anthony Volpe,17,Gunnar Henderson,36,Carlos Correa,17,J.P. Crawford,11,Corey Seager,29,Ceddanne Rafaela,6,,,,
INF,Jorge Polanco,7,Trevor Story,10,Jake Burger,18,Ryan Bliss,3,Ryan Mountcastle,11,Trey Sweeney,2,Yoan Moncada,1,Maikel Garcia,14,Ha-Seong Kim,7,Cam Smith,5,Tyler Soderstrom,11,Miguel Vargas,7,,,,
OF,Yordan Alvarez,40,Mike Trout,24,Cody Bellinger,27,Victor Robles,22,Byron Buxton,14,Julio Rodriguez,41,Aaron Judge,50,Adolis Garcia,17,Cedric Mullins,20,Steven Kwan,23,Jarren Duran,31,Roman Anthony,6,,,,
OF,Randy Arozarena,24,Jo Adell,11,Lawrence Butler,26,Jasson Dominguez,18,Lane Thomas,16,Josh Lowe,20,Esteury Ruiz,1,Anthony Santander,19,Richie Palacios,9,Jorge Soler,22,Kerry Carpenter,15,Ryan O'Hearn,6,,,,
OF,Luis Robert,21,Trevor Larnach,11,Jazz Chisholm,37,Kyle Isbel,6,J.J. Bleday,16,Jonny DeLuca,5,Justyn-Henry Malloy,1,Wenceel Perez,5,Mike Tauchman,8,Matt Wallner,16,Harrison Bader,1,Jhonkensy Noel,3,,,,
