,Rick Graham,,Phil Hertz,,Peter Kreutzer,,Derek Carty,,Scott Wilderman,,Brian Walton,,Steve Gardner,,Tristan Cockcroft,,Grey Albright,,Scott Chu,,Erik Halterman,,Tim Heaney,,,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,,
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,,
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,,
C,Henry Davis,2,Keibert Ruiz,9,William Contreras,25,JT Realmuto,15,Tyler Stephenson,10,Gabriel Moreno,13,Miguel Amaya,5,Drake Baldwin,5,Hunter Goodman,8,Patrick Bailey,5,WIlson Contreras,21,Joey Bart,9,,
C,Luis Torrens,1,Sean Murphy,7,Will Smith,17,Carson Kelly,2,Francisco Alvarez,7,Endy Rodriguez,4,Elias Diaz,2,Ivan Herrera,10,Nick Fortes,1,Jacob Stallings,5,Pedro Pages,1,Luis Campusano,1,,
1B,Pete Alonso,30,Nathaniel Lowe,18,Spencer Steer ,12,Jake Cronenworth,12,Freddie Freeman,30,Bryce Harper,32,Jemier Candelario,9,Rhys Hoskins,14,Michael Toglia,18,Josh Bell,9,Matt Olson,30,Christain Encarnacion-Strand,11,,
3B,Manny Machado,26,Max Muncy,19,Alec Bohm,17,Matt Chapman,23,Nolan Arenado,14,Connor Norby,11,Austin Riley,29,Paul deJong,2,Ryan McMahon,14,Chris Taylor,1,Eugenio Suarez,17,Matt Shaw,15,,
2B,Xander Boegarts,18,Otto Lopez,8,Nico Hoerner,15,Gavin Lux,10,Jeff McNeill,6,Brendan Donovan,15,Brice Turang,18,Luis Arraez,15,Thairo Estrada,10,Bryson Stott,17,Luis Garcia Jr.,16,Mookie Betts,35,,
SS,Willy Adames,24,Matt McLain,24,Isaih Kiner-Falefa,6,Dansby Swanson,19,Tyler Fitzgerald,13,Xavier Edwards,20,Masyn Winn,13,Geraldo Perdomo,9,Elly de la Cruz,40,Orlando Arcia,2,Trea Turner,26,Francisco Lindor,33,,
INF,Josh Naylor,21,Mark Vientos,19,KeBryan Hayes,5,Nick Gonzalez,6,Ketel Marte,28,Hyesong Kim,4,Joey Ortiz,11,Justin Turner,1,Jonah Bride,2,Ozzie Albies,20,CJ Abrams,24,Spencer Horwitz,8,,
OF,Seiya Suzuki,20,Oneil Cruz,30,Jackson Merrill,26,Ronald Acuna,27,Michael Harris,25,Teoscar Hernandez,23,Kyle Tucker ,38,Corbin Carroll,38,James Wood,27,Ian Happ,24,Jordan Walker,8,Jackson Chourio,31,,
OF,Victor Scott,6,Bryan Reynolds,25,Fernando Tatis,35,Brenton Doyle,22,Jake McCarthy,17,Brandon Nimmo,16,Jurikson Profar,17,Juan Soto,43,Alec Burleson,11,Lourdes Gurriel,12,Jung Hoo Lee,12,Garrett Mitchell,15,,
OF,Nick Castellanos,13,Dylan Crews ,19,TJ Friedl,10,Tommy Pham,5,Lars Nootbar,13,Brandon Marsh,11,Michael Conforto ,10,Pete Crow-Armstrong,17,Andy Pages,2,Austin Hays,6,Pavin Smith,6,Jake Fraley,7,,
OF,Tommy Edman,13,Christian Yelich,24,Nolan Jones,14,Jordan Beck,3,Randall Grichuk,2,Jacob Young,8,Jesus Sanchez,8,Tirso Ornelas,3,Tyrone Taylor,1,Jerar Encarnacion,3,Mike Yastzemski,5,Mark Canha,1,,
