year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,g,w,l,sv,ip,bb,hr,so,era,whip
2012,nl,Tristan H. Cockcroft,Shelby Miller,2839,Ari,P,1,act,active,P,5,1,0,0,12.7,4,0,15,1.42,1.026
2012,nl,Tristan H. Cockcroft,Aroldis Chapman,2894,NYY,P,5,act,active,P,67,5,5,38,70.7,22,4,122,1.53,0.807
2012,nl,Tristan H. Cockcroft,Jeff Locke,2594,Mia,P,2,act,active,P,5,1,2,0,25.0,8,5,25,6.48,1.6
2012,nl,Tristan H. Cockcroft,Jonathan Broxton,768,FA,P,10,act,active,P,19,2,3,2,16.3,2,1,16,3.86,1.163
2012,nl,Tristan H. Cockcroft,John Lannan,1618,Was,P,10,act,active,P,2,1,1,0,10.7,4,0,4,1.69,1.406
2012,nl,Tristan H. Cockcroft,Jonny Venters,2932,Atl,P,1,act,active,P,26,2,1,0,26.3,11,0,26,1.71,1.177
2012,nl,Tristan H. Cockcroft,Ryan Dempster,258,FA,P,11,act,active,P,11,7,3,0,64.3,22,8,64,4.34,1.352
2012,nl,Tristan H. Cockcroft,Yovani Gallardo,829,Tex,P,22,act,active,P,33,16,9,0,204.0,81,26,204,3.66,1.304
2012,nl,Tristan H. Cockcroft,Jacob Turner,2832,Det,P,10,act,active,P,6,0,4,0,35.7,7,5,26,4.04,1.065
2012,nl,Tristan H. Cockcroft,J.J. Putz,1344,FA,P,15,trd,previously_active,,36,1,4,20,35.0,7,4,38,3.6,1.057
2012,nl,Tristan H. Cockcroft,Fernando Salas,2468,Atl,P,0,rel,previously_active,,7,0,0,0,7.7,4,0,5,1.17,1.304
2012,nl,Tristan H. Cockcroft,Mike Minor,2833,Tex,P,8,res,previously_active,P,28,10,10,0,167.0,50,25,137,4.31,1.15
2012,nl,Tristan H. Cockcroft,Ryan Webb,2283,SF,P,0,rel,previously_active,,12,1,1,0,10.0,4,0,9,6.3,1.9
2012,nl,Tristan H. Cockcroft,Justin Germano,1227,FA,P,0,rel,previously_active,,2,1,0,0,10.3,2,0,6,3.48,0.968
2012,nl,Tristan H. Cockcroft,Santiago Casilla,1047,Col,P,2,trd,previously_active,,29,1,2,18,26.3,8,3,22,1.37,1.063
2012,nl,Tristan H. Cockcroft,James Russell,3010,FA,P,6,rel,previously_active,,27,3,0,2,24.7,6,2,22,4.74,1.216
2012,nl,Tristan H. Cockcroft,Javy Guerra,2962,Mia,P,10,rel,previously_active,,35,1,3,8,34.3,19,1,30,3.41,1.689
2012,nl,Tristan H. Cockcroft,Madison Bumgarner,2053,SF,P,21,res,previously_active,P,32,16,11,0,208.3,49,23,191,3.37,1.114
2012,nl,Tristan H. Cockcroft,Mitchell Boggs,1972,FA,P,0,rel,previously_active,,39,2,1,0,35.0,10,2,25,1.8,1.143
2012,nl,Tristan H. Cockcroft,Matt Harvey,2672,Cin,P,8,res,previously_active,P,1,0,0,0,7.0,3,1,7,1.29,0.571
2012,nl,Tristan H. Cockcroft,Jhoulys Chacin,2123,Mil,P,6,rel,previously_active,,5,0,3,0,24.7,15,7,22,7.3,1.865
2012,nl,Tristan H. Cockcroft,Brad Boxberger,3185,Ari,P,1,rel,previously_active,,3,0,0,0,3.7,5,0,5,2.45,2.455
2012,nl,Tristan H. Cockcroft,Vance Worley,2757,FA,P,8,rel,previously_active,,21,6,9,0,123.0,43,12,98,4.32,1.528
2012,nl,Tristan H. Cockcroft,Brad Lincoln,2042,Pit,P,2,rel,previously_active,,31,2,2,1,58.3,10,10,55,4.01,1.183
2012,nl,Tristan H. Cockcroft,Madison Bumgarner,2053,SF,P,21,res,reserved,P,0,0,0,0,0.0,0,0,0,0.0,0.0
2012,nl,Tristan H. Cockcroft,Matt Harvey,2672,Cin,P,8,res,reserved,P,0,0,0,0,0.0,0,0,0,0.0,0.0
2012,nl,Tristan H. Cockcroft,Mike Minor,2833,Tex,P,8,res,reserved,P,2,1,0,0,12.3,6,1,8,1.46,1.216
2012,nl,Tristan H. Cockcroft,Brad Lincoln,2042,Pit,P,2,rel,previously_reserved,,4,0,0,0,3.3,3,0,2,0.0,1.2
2012,nl,Tristan H. Cockcroft,Vance Worley,2757,FA,P,8,rel,previously_reserved,,2,0,0,0,10.0,4,0,9,2.7,1.3
2012,nl,Tristan H. Cockcroft,Jacob Turner,2832,Det,P,10,act,previously_reserved,P,1,1,0,0,7.0,2,0,3,0.0,0.571
2012,nl,Tristan H. Cockcroft,Mitchell Boggs,1972,FA,P,0,rel,previously_reserved,,1,0,0,0,0.7,0,0,0,0.0,1.5
2012,nl,Tristan H. Cockcroft,Javy Guerra,2962,Mia,P,10,rel,previously_reserved,,10,1,0,0,10.7,4,0,7,0.0,0.844
2012,nl,Tristan H. Cockcroft,James Russell,3010,FA,P,6,rel,previously_reserved,,21,3,1,0,17.7,6,1,12,3.57,1.472
2012,nl,Tristan H. Cockcroft,Shelby Miller,2839,Ari,P,1,act,previously_reserved,P,1,0,0,0,1.0,0,0,1,0.0,0.0
2012,nl,Tristan H. Cockcroft,Aroldis Chapman,2894,NYY,P,5,act,previously_reserved,P,1,0,0,0,1.0,1,0,0,0.0,1.0
2012,nl,Tristan H. Cockcroft,Ryan Webb,2283,SF,P,0,rel,previously_reserved,,11,1,1,0,12.0,3,1,6,8.25,1.583
2012,nl,Tristan H. Cockcroft,John Lannan,1618,Was,P,10,act,previously_reserved,P,2,1,0,0,9.0,3,0,6,8.0,1.778
2012,nl,Tristan H. Cockcroft,Jonathan Broxton,768,FA,P,10,act,previously_reserved,P,3,0,0,2,3.3,1,0,3,0.0,0.9
2012,nl,Tristan H. Cockcroft,Jeff Locke,2594,Mia,P,2,act,previously_reserved,P,1,0,1,0,5.0,3,1,8,5.4,1.2
2012,nl,Tristan H. Cockcroft,Fernando Salas,2468,Atl,P,0,rel,previously_reserved,,13,1,0,0,12.7,7,1,13,4.26,1.105
2012,nl,Phil Hertz,Sergio Romo,2061,TB,P,3,act,active,P,69,4,2,14,55.3,10,5,63,1.79,0.849
2012,nl,Phil Hertz,Mitchell Boggs,1972,FA,P,0,act,active,P,32,2,0,0,29.7,9,3,24,3.03,0.978
2012,nl,Phil Hertz,Steve Cishek,3368,ChC,P,0,act,active,P,20,1,1,9,18.0,8,0,24,5.0,1.444
2012,nl,Phil Hertz,Cliff Lee,381,Phi,P,27,act,active,P,22,6,7,0,154.0,18,19,153,3.21,1.149
2012,nl,Phil Hertz,Edward Mujica,386,StL,P,2,act,active,P,17,0,0,0,14.0,2,1,12,1.93,1.071
2012,nl,Phil Hertz,Joel Hanrahan,1616,Det,P,18,act,active,P,63,5,2,36,59.7,36,8,67,2.72,1.274
2012,nl,Phil Hertz,Paul Maholm,1171,Cin,P,2,act,active,P,13,6,4,0,88.7,21,8,72,2.54,1.004
2012,nl,Phil Hertz,Stephen Strasburg,2528,Was,P,0,act,active,P,0,0,0,0,0.0,0,0,0,0.0,0.0
2012,nl,Phil Hertz,Ronald Belisario,1161,Bos,P,11,act,active,P,37,6,1,0,37.0,15,2,38,2.92,1.054
2012,nl,Phil Hertz,Brad Lidge,1112,FA,P,2,rel,previously_active,,7,0,0,2,7.0,7,1,7,5.14,2.0
2012,nl,Phil Hertz,Chris Volstad,588,FA,P,3,rel,previously_active,,6,0,4,0,33.0,10,2,21,6.55,1.394
2012,nl,Phil Hertz,Juan Nicasio,2947,Sea,P,6,rel,previously_active,,11,2,3,0,58.0,22,7,54,5.28,1.621
2012,nl,Phil Hertz,Bobby Parnell,2197,FA,P,0,rel,previously_active,,43,3,3,4,38.3,13,3,33,3.76,1.487
2012,nl,Phil Hertz,Homer Bailey,313,Cin,P,4,trd,previously_active,,22,9,7,0,135.7,38,19,100,3.98,1.356
2012,nl,Phil Hertz,Logan Ondrusek,2942,LAD,P,0,rel,previously_active,,2,0,0,0,2.0,1,0,2,4.5,1.0
2012,nl,Phil Hertz,Eduardo Sanchez,2921,Det,P,1,rel,previously_active,,6,0,1,0,5.0,5,1,5,9.0,2.2
2012,nl,Phil Hertz,Jose Arredondo,714,Cin,P,0,rel,previously_active,,2,0,0,0,1.7,3,0,2,0.0,2.4
