year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,g,r,hr,rbi,sb,so,bb,avg,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2014,nl,Tristan H. Cockcroft,Rafael Ynoa,4810,Col,MI,1,act,active,"UT,3B",53,16,4,0,12,0,6,4,0.386,0.333,0.491,0,0,0,1,13,2,0
2014,nl,Tristan H. Cockcroft,Ike Davis,2618,LAD,1B,11,act,active,"1B,CI,SW",360,143,43,11,51,0,78,63,0.344,0.25,0.378,2,0,124,0,0,0,0
2014,nl,Tristan H. Cockcroft,Lucas Duda,3305,Atl,CI,6,act,active,"1B,CI,SW,OF",514,153,74,30,92,3,135,69,0.349,0.24,0.481,3,0,146,0,0,0,1
2014,nl,Tristan H. Cockcroft,Arismendy Alcantara,4171,FA,2B,1,act,active,"OF,2B",269,68,29,10,26,8,90,17,0.249,0.091,0.353,0,0,0,25,0,0,48
2014,nl,Tristan H. Cockcroft,Ian Desmond,1671,Col,SS,27,act,active,"SS,MI,SW",593,154,73,24,91,24,183,46,0.313,0.421,0.43,0,0,0,0,0,154,0
2014,nl,Tristan H. Cockcroft,Ryan Zimmerman,1638,Was,3B,16,act,active,"1B,3B,SW,OF,CI",16,7,2,0,1,0,2,1,0.235,0.235,0.187,2,0,5,0,23,0,30
2014,nl,Tristan H. Cockcroft,Jon Jay,2475,Ari,OF,3,act,active,"OF,SW",398,135,51,2,43,6,74,27,0.375,0.278,0.374,0,0,0,0,0,0,125
2014,nl,Tristan H. Cockcroft,Gregory Polanco,4166,Pit,OF,5,act,active,OF,272,88,49,7,33,14,58,30,0.309,0.0,0.346,0,0,0,0,0,0,83
2014,nl,Tristan H. Cockcroft,Marlon Byrd,1527,FA,OF,11,act,active,"OF,SW",591,154,71,25,85,3,185,35,0.312,0.3,0.445,1,0,0,0,0,0,149
2014,nl,Tristan H. Cockcroft,Corey Dickerson,3661,Pit,OF,9,act,active,"OF,SW",436,131,74,24,76,8,101,37,0.364,0.5,0.567,7,0,0,0,0,0,105
2014,nl,Tristan H. Cockcroft,Buster Posey,2187,SF,C,24,act,active,"C,1B,SW,CI",547,147,72,22,89,0,69,47,0.364,0.421,0.49,2,111,35,0,0,0,0
2014,nl,Tristan H. Cockcroft,Devin Mesoraco,1987,NYM,C,9,act,active,"C,SW",363,108,50,22,70,1,95,38,0.345,0.267,0.493,1,109,0,0,0,0,0
2014,nl,Tristan H. Cockcroft,Tommy Medica,4667,FA,UT,1,act,active,"1B,OF,CI,SW",13,5,2,1,3,1,4,1,0.286,0.286,0.538,4,0,46,0,0,0,22
2014,nl,Tristan H. Cockcroft,Starlin Castro,2724,Mia,MI,15,res,previously_active,"SS,MI,SW",528,134,58,14,65,4,100,35,0.339,0.0,0.437,0,0,0,0,0,133,0
2014,nl,Tristan H. Cockcroft,Cesar Hernandez,3413,Phi,2B,1,rel,previously_active,,13,7,2,0,1,0,1,1,0.143,0.0,0.077,0,0,0,11,14,4,0
2014,nl,Tristan H. Cockcroft,Mike Olt,3594,SD,3B,1,res,previously_active,"3B,1B",28,11,2,0,2,0,12,4,0.324,0.0,0.321,3,0,12,0,52,0,0
