year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Ike Davis,2618,LAD,1B,11,act,"1B,SW,CI",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Arismendy Alcantara,4171,FA,2B,1,act,"OF,2B",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Ian Desmond,1671,Col,SS,27,act,"SS,SW,MI",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Ryan Zimmerman,1638,FA,3B,16,act,"1B,3B,OF,SW,CI",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Jon Jay,2475,LAA,OF,3,act,"OF,SW",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Gregory Polanco,4166,Tor,OF,5,act,OF,active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Corey Dickerson,3661,FA,OF,9,act,"OF,SW",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Marlon Byrd,1527,FA,OF,11,act,"OF,SW",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Devin Mesoraco,1987,NYM,C,9,act,"C,SW",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Buster Posey,2187,SF,C,24,act,"C,1B,CI,SW",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Tommy Medica,4667,FA,UT,1,act,"1B,SW,OF,CI",active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Jeurys Familia,3269,FA,P,0,act,P,active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Mark Melancon,1022,FA,P,4,act,P,active
2014,nl,Tristan H. Cockcroft have 0 active players at INF but the Minimum is 1,Edinson Volquez,332,FA,P,0,act,P,active
