year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2019,nl,Phil Hertz,Anthony Rizzo,3156,ChC,1B,32,act,active,"1B,SW,CI",498,0,142,88,26,93,5,83,70,0.401,0.512,0,0,146,0,0,0,0
2019,nl,Phil Hertz,Brandon Belt,3336,SF,CI,17,act,active,"1B,OF,CI,SW",526,0,156,76,17,57,4,127,83,0.339,0.403,0,0,144,0,0,0,15
2019,nl,Phil Hertz,Cory Spangenberg,3756,Mil,MI,25,act,active,"3B,2B,SW,MI,CI",49,0,18,7,1,7,2,20,5,0.278,0.306,0,0,0,22,6,4,3
2019,nl,Phil Hertz,Kevin Newman,5393,Pit,2B,147,act,active,"3B,SS,SW,MI,2B",446,0,112,57,12,59,15,50,24,0.349,0.446,0,0,0,23,6,104,2
2019,nl,Phil Hertz,Amed Rosario,4884,NYM,SS,20,act,active,"UT,SS,MI,SW",616,0,157,75,15,72,19,124,31,0.323,0.432,1,0,0,0,0,152,1
2019,nl,Phil Hertz,Justin Turner,2415,LAD,3B,24,act,active,"3B,SW,CI",479,0,135,80,27,67,2,88,51,0.372,0.509,3,0,0,1,124,0,0
2019,nl,Phil Hertz,Nicholas Castellanos,3217,ChC,OF,941,act,active,"OF,SW",166,0,40,32,12,30,0,36,7,0.341,0.614,11,0,0,0,0,0,140
2019,nl,Phil Hertz,Brandon Nimmo,3778,NYM,OF,1,act,active,"OF,SW",199,0,68,33,8,29,3,71,45,0.373,0.407,0,0,0,0,0,0,66
2019,nl,Phil Hertz,Kris Bryant,4434,ChC,OF,31,act,active,"OF,3B,SW,CI",543,0,147,108,31,77,4,145,74,0.382,0.521,3,0,3,0,115,0,44
2019,nl,Phil Hertz,Mike Yastrzemski,5314,SF,OF,38,act,active,OF,341,0,97,59,21,51,2,99,28,0.335,0.537,0,0,0,0,0,0,102
2019,nl,Phil Hertz,Will Smith,5805,LAD,C,194,act,active,C,138,0,43,25,11,30,1,42,15,0.321,0.514,1,46,0,0,0,0,0
2019,nl,Phil Hertz,Victor Caratini,4876,ChC,C,21,act,active,"C,1B,SW,CI",102,0,35,11,5,11,0,21,9,0.339,0.461,0,59,23,0,2,0,0
2019,nl,Phil Hertz,Kurt Suzuki,1063,Was,UT,3,act,active,"C,SW",229,0,71,28,13,46,0,32,17,0.311,0.45,0,75,0,0,0,0,0
2019,nl,Phil Hertz,Abraham Almonte,4385,Ari,SW,0,act,active,"OF,SW",4,0,3,1,0,0,0,1,2,0.333,0.0,0,0,0,0,0,0,12
2019,nl,Phil Hertz,Yonder Alonso,2142,Col,CI,0,rel,previously_active,,28,0,17,2,0,2,0,7,1,0.233,0.214,41,0,32,0,0,0,0
2019,nl,Phil Hertz,Kolten Wong,3771,StL,MI,5,res,previously_active,"2B,MI,SW",478,0,148,61,11,59,24,83,47,0.361,0.423,0,0,0,147,0,0,0
2019,nl,Phil Hertz,Martin Prado,80,Mia,CI,18,rel,previously_active,,15,0,5,1,0,1,0,1,1,0.25,0.267,2,0,40,0,22,0,0
2019,nl,Phil Hertz,Pat Valaika,5853,Col,1B,0,rel,previously_active,,6,0,3,0,0,0,0,3,0,0.167,0.333,1,0,1,13,3,7,0
2019,nl,Phil Hertz,Robel Garcia,7066,ChC,2B,58,rel,previously_active,,48,0,15,3,2,6,0,22,1,0.2,0.396,1,0,0,18,0,0,6
2019,nl,Phil Hertz,David Bote,6286,ChC,2B,1,rel,previously_active,,243,0,95,36,9,37,4,71,31,0.352,0.432,0,0,0,50,67,9,1
2019,nl,Phil Hertz,*Andrew McCutchen,1222,Phi,OF,25,rel,previously_active,,219,0,59,45,10,29,2,55,43,0.378,0.457,1,0,0,0,0,0,57
2019,nl,Phil Hertz,Billy Hamilton,3576,Atl,OF,24,rel,previously_active,,17,0,12,3,0,1,1,6,3,0.35,0.294,1,0,0,0,0,0,114
2019,nl,Phil Hertz,Mac Williamson,4492,Sea,OF,287,rel,previously_active,,30,0,10,1,0,2,2,13,4,0.229,0.133,1,0,0,0,0,0,38
2019,nl,Phil Hertz,Dominic Smith,4549,NYM,OF,1,rel,previously_active,,139,0,52,23,9,16,1,36,11,0.32,0.518,0,0,36,0,0,0,33
2019,nl,Phil Hertz,Neil Walker,1221,Mia,OF,5,rel,previously_active,,221,0,75,20,4,20,2,52,28,0.355,0.389,3,0,69,1,26,0,0
2019,nl,Phil Hertz,Yangervis Solarte,3899,Mia,OF,1,rel,previously_active,,67,0,24,7,1,7,0,15,4,0.239,0.299,0,0,0,10,2,4,9
2019,nl,Phil Hertz,Brian McCann,73,Atl,C,3,trd,previously_active,,224,0,68,24,10,39,0,45,24,0.336,0.438,0,83,0,0,0,0,0
2019,nl,Phil Hertz,Tony Wolters,3637,Col,C,5,rel,previously_active,,13,0,5,0,0,0,0,2,0,0.154,0.231,0,112,0,8,1,0,0
2019,nl,Phil Hertz,Rajai Davis,1311,NYM,UT,2,rel,previously_active,,5,0,4,1,0,1,0,1,0,0.2,0.4,0,0,0,0,0,0,14
2019,nl,Phil Hertz,Lewis Brinson,4446,Mia,UT,7,res,previously_active,"OF,SW",202,0,63,14,0,15,1,64,13,0.244,0.228,0,0,0,0,0,0,70
2019,nl,Phil Hertz,*Zach Green,4866,SF,UT,52,rel,previously_active,,11,0,7,1,0,0,0,5,2,0.154,0.0,0,0,0,0,5,0,0
