year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,g,r,hr,rbi,sb,so,bb,avg,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2021,mixed,Michael Rathburn,Ryan Mountcastle,5676,Bal,1B,4,act,active,"1B,OF,CI",329,88,44,18,49,3,103,28,0.282,0.25,0.413,41,0,84,0,0,0,21
2021,mixed,Michael Rathburn,Ketel Marte,4847,Ari,2B,18,act,active,"2B,OF,MI",190,50,30,6,26,2,28,16,0.406,0.261,0.547,0,0,0,20,0,0,71
2021,mixed,Michael Rathburn,Marcus Semien,4300,Tex,SS,19,act,active,"2B,SS,MI",652,162,115,45,102,15,146,66,0.334,0.222,0.538,1,0,0,147,0,21,0
2021,mixed,Michael Rathburn,Rafael Devers,4903,Bos,3B,24,act,active,"UT,3B,CI",591,156,101,38,113,5,143,62,0.352,0.357,0.538,4,0,0,2,151,0,0
2021,mixed,Michael Rathburn,Mitch Haniger,4480,Sea,OF,2,act,active,OF,531,135,93,34,83,1,147,48,0.316,0.37,0.473,34,0,0,0,0,0,123
2021,mixed,Michael Rathburn,Juan Soto,6043,NYM,OF,52,act,active,OF,487,145,109,28,92,9,90,143,0.471,0.321,0.54,2,0,0,0,0,0,144
2021,mixed,Michael Rathburn,Austin Meadows,4438,FA,OF,22,act,active,OF,518,142,79,27,106,4,122,59,0.315,0.312,0.458,60,0,0,0,0,0,79
2021,mixed,Michael Rathburn,Robbie Grossman,2699,KC,OF,2,act,active,OF,463,130,74,19,54,18,126,81,0.358,0.357,0.419,7,0,0,0,0,0,146
2021,mixed,Michael Rathburn,Tyler O'Neill,5423,Bal,OF,1,act,active,OF,408,118,73,24,60,12,144,36,0.348,0.45,0.512,1,0,0,0,0,0,131
2021,mixed,Michael Rathburn,Eric Haase,5709,Mil,C,5,act,active,"C,OF",320,90,44,20,57,2,111,26,0.281,0.346,0.447,11,66,1,0,0,0,22
2021,mixed,Michael Rathburn,Ryan Jeffers,7271,Min,C,2,act,active,C,110,35,13,5,8,0,48,3,0.222,0.182,0.345,0,84,0,0,0,0,0
2021,mixed,Michael Rathburn,Adolis Garcia,5465,Tex,UT,9,act,active,OF,288,74,37,19,55,13,92,12,0.298,0.25,0.5,13,0,0,0,0,0,134
2021,mixed,Michael Rathburn,Kyle Farmer,4111,Col,CI,8,act,active,"2B,SS,3B,MI,1B",190,48,27,7,29,0,37,6,0.327,0.364,0.479,0,0,5,9,10,121,2
2021,mixed,Michael Rathburn,Jorge Polanco,4695,Sea,MI,0,act,active,"2B,SS,MI",501,129,79,29,89,9,107,38,0.323,0.273,0.503,8,0,0,120,0,39,0
2021,mixed,Michael Rathburn,Carlos Santana,2181,Cle,1B,10,res,previously_active,"1B,CI",522,145,63,19,64,2,94,80,0.322,0.0,0.354,19,0,136,0,0,0,0
2021,mixed,Michael Rathburn,Adam Frazier,5555,Pit,2B,105,res,previously_active,"2B,OF,MI",485,130,72,3,37,8,59,40,0.363,0.0,0.39,1,0,0,140,0,0,12
2021,mixed,Michael Rathburn,Erik Gonzalez,4680,Cin,SS,6,rel,previously_active,,18,4,1,1,2,0,3,0,0.111,0.0,0.278,0,0,13,0,38,17,0
2021,mixed,Michael Rathburn,Gavin Sheets,6582,SD,OF,11,rel,previously_active,,21,6,2,1,1,0,4,2,0.304,0.0,0.429,22,0,10,0,0,0,17
2021,mixed,Michael Rathburn,Franchy Cordero,4877,FA,OF,60,rel,previously_active,,45,17,4,0,5,1,23,4,0.265,0.0,0.244,1,0,11,0,0,0,35
2021,mixed,Michael Rathburn,Darin Ruf,4191,FA,OF,29,rel,previously_active,,20,10,2,1,3,0,5,3,0.375,0.0,0.4,2,0,44,0,0,0,36
2021,mixed,Michael Rathburn,Yonathan Daza,6290,FA,OF,3,rel,previously_active,,27,7,2,0,2,0,7,0,0.222,0.0,0.222,0,0,0,0,0,0,79
2021,mixed,Michael Rathburn,Jose Trevino,5991,Cin,C,1,rel,previously_active,,58,15,5,0,1,0,15,2,0.279,0.0,0.293,0,88,0,0,0,0,0
2021,mixed,Michael Rathburn,Yan Gomes,3945,FA,C,3,rel,previously_active,,48,14,5,2,7,0,7,2,0.294,0.0,0.417,6,92,0,0,0,0,0
2021,mixed,Michael Rathburn,Willians Astudillo,5536,FA,C,3,rel,previously_active,,25,10,4,1,3,0,1,0,0.385,0.0,0.56,0,10,27,4,29,0,1
2021,mixed,Michael Rathburn,William Contreras,6423,Mil,C,6,rel,previously_active,,139,43,16,7,20,0,50,12,0.273,0.0,0.388,0,49,0,0,0,0,0
2021,mixed,Michael Rathburn,Kyle Higashioka,3107,Tex,C,3,rel,previously_active,,40,13,5,2,3,0,14,6,0.239,0.0,0.3,0,66,0,0,0,0,0
2021,mixed,Michael Rathburn,Austin Riley,5688,Atl,UT,1,rel,previously_active,,29,9,3,0,0,0,9,2,0.281,0.0,0.207,0,0,10,0,156,0,1
2021,mixed,Michael Rathburn,Josh Fuentes,6707,FA,UT,33,rel,previously_active,,15,7,1,0,0,0,7,5,0.25,0.0,0.0,0,0,32,0,60,0,2
2021,mixed,Michael Rathburn,Mike Tauchman,5642,CWS,UT,37,rel,previously_active,,60,18,12,1,3,1,22,13,0.329,0.0,0.267,1,0,0,0,0,0,59
2021,mixed,Michael Rathburn,Bobby Bradley,5249,FA,UT,29,rel,previously_active,,25,7,3,2,4,0,11,3,0.25,0.0,0.4,5,0,68,0,0,0,0
2021,mixed,Michael Rathburn,Yohel Pozo,7795,StL,UT,2,res,previously_active,UT,23,6,2,0,2,0,2,0,0.261,0.0,0.304,17,2,0,0,0,0,0
2021,mixed,Michael Rathburn,Isiah Kiner-Falefa,6317,Pit,CI,1,rel,previously_active,,328,83,31,4,25,9,56,9,0.279,0.0,0.335,1,0,0,0,0,156,0
2021,mixed,Michael Rathburn,Phillip Evans,4091,Atl,CI,13,rel,previously_active,,58,16,8,1,3,1,20,7,0.265,0.0,0.207,1,0,20,0,14,0,29
2021,mixed,Michael Rathburn,Matt Duffy,4893,Tex,CI,9,rel,previously_active,,22,5,3,1,5,0,5,0,0.333,0.0,0.455,0,0,2,21,56,5,3
2021,mixed,Michael Rathburn,Carlos Santana,2181,Cle,1B,10,res,reserved,"1B,CI",43,13,3,0,5,0,8,6,0.28,0.321,0.186,19,0,136,0,0,0,0
2021,mixed,Michael Rathburn,Adam Frazier,5555,Pit,2B,105,res,reserved,"2B,OF,MI",92,25,11,2,6,2,10,8,0.396,0.286,0.522,1,0,0,140,0,0,12
2021,mixed,Michael Rathburn,Yohel Pozo,7795,StL,UT,2,res,reserved,UT,25,8,3,0,3,0,3,1,0.385,0.0,0.48,17,2,0,0,0,0,0
2021,mixed,Michael Rathburn,Ryan Mountcastle,5676,Bal,1B,4,act,previously_reserved,"1B,OF,CI",205,56,33,15,40,1,58,13,0.353,0.0,0.605,41,0,84,0,0,0,21
2021,mixed,Michael Rathburn,Ketel Marte,4847,Ari,2B,18,act,previously_reserved,"2B,OF,MI",150,40,22,8,24,0,32,15,0.341,0.0,0.513,0,0,0,20,0,0,71
2021,mixed,Michael Rathburn,Darin Ruf,4191,FA,OF,29,rel,previously_reserved,,11,6,1,0,2,0,3,4,0.533,0.0,0.455,2,0,44,0,0,0,36
2021,mixed,Michael Rathburn,Tyler O'Neill,5423,Bal,OF,1,act,previously_reserved,OF,74,20,16,10,20,3,24,2,0.377,0.0,0.824,1,0,0,0,0,0,131
2021,mixed,Michael Rathburn,Gavin Sheets,6582,SD,OF,11,rel,previously_reserved,,6,3,0,0,1,0,1,0,0.167,0.0,0.167,22,0,10,0,0,0,17
2021,mixed,Michael Rathburn,Robbie Grossman,2699,KC,OF,2,act,previously_reserved,OF,94,26,14,4,13,2,29,17,0.354,0.0,0.394,7,0,0,0,0,0,146
2021,mixed,Michael Rathburn,Juan Soto,6043,NYM,OF,52,act,previously_reserved,OF,15,6,2,1,3,0,3,2,0.235,0.0,0.333,2,0,0,0,0,0,144
2021,mixed,Michael Rathburn,Austin Riley,5688,Atl,UT,1,rel,previously_reserved,,18,7,3,0,1,0,4,2,0.375,0.0,0.222,0,0,10,0,156,0,1
2021,mixed,Michael Rathburn,Adolis Garcia,5465,Tex,UT,9,act,previously_reserved,OF,268,69,38,11,31,3,94,20,0.281,0.0,0.41,13,0,0,0,0,0,134
2021,mixed,Michael Rathburn,Bobby Bradley,5249,FA,UT,29,rel,previously_reserved,,71,21,14,6,9,0,30,9,0.313,0.0,0.493,5,0,68,0,0,0,0
2021,mixed,Michael Rathburn,Mike Tauchman,5642,CWS,UT,37,rel,previously_reserved,,45,18,3,1,4,0,13,6,0.25,0.0,0.222,1,0,0,0,0,0,59
2021,mixed,Michael Rathburn,Josh Fuentes,6707,FA,UT,33,rel,previously_reserved,,94,33,8,3,7,0,23,3,0.258,0.0,0.351,0,0,32,0,60,0,2
2021,mixed,Michael Rathburn,Phillip Evans,4091,Atl,CI,13,rel,previously_reserved,,16,5,0,0,0,0,3,3,0.316,0.0,0.187,1,0,20,0,14,0,29
2021,mixed,Michael Rathburn,Isiah Kiner-Falefa,6317,Pit,CI,1,rel,previously_reserved,,68,16,15,2,8,6,10,4,0.351,0.0,0.456,1,0,0,0,0,156,0
2021,mixed,Michael Rathburn,Kyle Farmer,4111,Col,CI,8,act,previously_reserved,"2B,SS,3B,MI,1B",22,6,2,1,4,0,7,1,0.348,0.0,0.545,0,0,5,9,10,121,2
2021,mixed,Michael Rathburn,Matt Duffy,4893,Tex,CI,9,rel,previously_reserved,,9,4,2,0,0,0,2,2,0.364,0.0,0.222,0,0,2,21,56,5,3
2021,mixed,Michael Rathburn,Jorge Polanco,4695,Sea,MI,0,act,previously_reserved,"2B,SS,MI",87,23,18,4,9,2,11,7,0.323,0.0,0.506,8,0,0,120,0,39,0
2021,mixed,Zach Steinhorn,Matt Olson,4465,Atl,1B,20,act,active,"1B,CI",565,156,101,39,111,4,113,88,0.371,0.269,0.54,4,0,152,0,0,0,0
2021,mixed,Zach Steinhorn,Cesar Hernandez,3413,FA,2B,2,act,active,"2B,MI",550,144,78,20,60,1,133,56,0.309,0.437,0.387,7,0,0,142,0,1,0
2021,mixed,Zach Steinhorn,Javier Baez,3804,Det,SS,15,act,active,"SS,2B,MI",498,137,78,31,86,18,183,28,0.316,0.3,0.49,0,0,0,35,0,100,0
2021,mixed,Zach Steinhorn,Kyle Seager,3774,Sea,3B,2,act,active,"3B,CI",603,159,73,35,101,3,161,59,0.285,0.12,0.438,10,0,0,0,149,0,0
2021,mixed,Zach Steinhorn,Leury Garcia,4245,Atl,OF,16,act,active,"2B,SS,OF,MI,3B",45,12,5,0,2,0,10,3,0.354,0.375,0.4,0,0,0,36,11,19,65
2021,mixed,Zach Steinhorn,Joc Pederson,4090,Tex,OF,3,act,active,OF,404,123,49,16,57,2,109,35,0.308,0.222,0.413,1,0,1,0,0,0,117
2021,mixed,Zach Steinhorn,Lorenzo Cain,2002,Mil,OF,2,act,active,OF,249,76,39,8,33,13,48,26,0.325,0.25,0.398,0,0,0,0,0,0,70
2021,mixed,Zach Steinhorn,Michael Conforto,4911,LAD,OF,24,act,active,OF,402,125,50,14,55,1,103,58,0.342,0.455,0.381,1,0,0,0,0,0,118
2021,mixed,Zach Steinhorn,Manuel Margot,4858,Mil,OF,8,act,active,OF,406,121,55,10,56,12,66,36,0.318,0.235,0.392,3,0,0,0,0,0,119
2021,mixed,Zach Steinhorn,Elias Diaz,5078,SD,C,32,act,active,C,179,55,33,11,26,0,29,13,0.33,0.455,0.536,0,98,0,0,0,0,0
2021,mixed,Zach Steinhorn,Yasmani Grandal,3311,Pit,C,82,act,active,"C,1B,CI",98,30,18,9,24,0,18,27,0.481,0.417,0.673,9,80,8,0,0,0,0
2021,mixed,Zach Steinhorn,Joey Wendle,4608,Atl,UT,0,act,active,"2B,SS,3B,CI,MI",237,70,33,4,25,2,61,15,0.293,0.125,0.363,0,0,0,16,107,25,0
2021,mixed,Zach Steinhorn,Paul Goldschmidt,3159,NYY,CI,18,act,active,"1B,CI",287,75,59,19,55,7,63,37,0.409,0.353,0.617,4,0,153,0,0,0,0
2021,mixed,Zach Steinhorn,Alcides Escobar,850,FA,MI,8,act,active,"SS,2B",24,6,4,1,2,0,6,4,0.464,0.464,0.583,0,0,0,17,0,61,0
2021,mixed,Zach Steinhorn,Mike Moustakas,2004,FA,2B,14,dis,previously_active,"3B,1B,CI,MI,2B",166,56,19,6,19,0,39,16,0.273,0.0,0.355,0,0,11,1,44,0,0
2021,mixed,Zach Steinhorn,Ronald Acuna,5737,Atl,OF,51,rel,previously_active,,297,82,72,24,52,17,85,49,0.394,0.0,0.596,0,0,0,0,0,0,81
2021,mixed,Zach Steinhorn,Taylor Ward,5398,LAA,OF,22,rel,previously_active,,144,43,24,5,20,0,38,14,0.333,0.0,0.437,0,1,0,0,0,0,64
2021,mixed,Zach Steinhorn,Tony Kemp,5292,Cin,OF,21,rel,previously_active,,105,39,17,2,8,2,22,20,0.364,0.0,0.343,1,0,0,89,0,1,49
2021,mixed,Zach Steinhorn,Gregory Polanco,4166,Tor,OF,0,rel,previously_active,,192,57,21,4,19,9,58,14,0.242,0.0,0.292,0,0,0,0,0,0,92
2021,mixed,Zach Steinhorn,Brandon Marsh,6077,Phi,OF,127,rel,previously_active,,18,7,2,0,0,0,10,4,0.273,0.0,0.167,0,0,0,0,0,0,70
2021,mixed,Zach Steinhorn,Garrett Cooper,6182,Atl,OF,23,dis,previously_active,"1B,CI,OF",74,26,10,3,12,1,22,16,0.446,0.0,0.473,2,0,19,0,0,0,41
2021,mixed,Zach Steinhorn,Jorge Mateo,5119,Bal,OF,53,dis,previously_active,"SS,2B,OF,3B,MI",96,29,7,2,7,3,25,7,0.327,0.0,0.406,0,0,0,19,9,18,24
2021,mixed,Zach Steinhorn,Jesus Sanchez,6068,Mia,OF,28,dis,previously_active,OF,101,28,15,8,19,0,39,11,0.342,0.308,0.545,0,0,0,0,0,0,62
2021,mixed,Zach Steinhorn,Oscar Mercado,5747,Phi,OF,73,rel,previously_active,,47,18,6,1,2,1,7,1,0.229,0.0,0.298,0,0,0,0,0,0,68
2021,mixed,Zach Steinhorn,Mitch Garver,5025,Sea,C,7,rel,previously_active,,182,61,27,13,29,0,65,29,0.352,0.0,0.527,3,59,4,0,0,0,0
2021,mixed,Zach Steinhorn,Pedro Severino,5243,FA,C,2,trd,previously_active,,88,25,6,1,2,0,23,5,0.258,0.0,0.284,4,109,0,0,0,0,0
2021,mixed,Zach Steinhorn,Ryan Jeffers,7271,Min,C,12,rel,previously_active,,73,23,6,4,11,0,27,13,0.291,0.0,0.356,0,84,0,0,0,0,0
2021,mixed,Zach Steinhorn,Yan Gomes,3945,FA,C,48,res,previously_active,C,146,41,22,4,22,0,35,11,0.331,0.0,0.425,6,92,0,0,0,0,0
2021,mixed,Zach Steinhorn,Jackie Bradley,3595,NYM,UT,1,trd,previously_active,,114,31,10,1,3,2,38,6,0.238,0.0,0.246,0,0,0,0,0,0,117
2021,mixed,Zach Steinhorn,Alec Bohm,6542,Phi,UT,14,rel,previously_active,,350,101,44,7,46,4,101,30,0.312,0.0,0.354,0,0,7,0,103,0,0
2021,mixed,Zach Steinhorn,Daniel Vogelbach,4058,FA,UT,18,rel,previously_active,,44,13,7,2,5,0,10,6,0.32,0.0,0.455,3,0,59,0,0,0,0
2021,mixed,Zach Steinhorn,Yonny Hernandez,7481,Mil,UT,12,res,previously_active,"2B,3B,SS",16,6,1,0,0,2,4,3,0.263,0.0,0.187,2,0,0,9,29,6,0
2021,mixed,Zach Steinhorn,Renato Nunez,3647,FA,UT,38,rel,previously_active,,11,3,0,0,0,0,4,0,0.182,0.0,0.273,6,0,8,0,0,0,0
2021,mixed,Zach Steinhorn,Nick Gordon,4960,Bal,MI,32,rel,previously_active,,8,3,0,0,0,0,2,0,0.25,0.0,0.375,0,0,0,17,2,14,45
2021,mixed,Zach Steinhorn,Elvis Andrus,1543,FA,MI,28,rel,previously_active,,20,6,0,0,0,0,3,1,0.19,0.0,0.15,0,0,0,0,0,143,0
2021,mixed,Zach Steinhorn,Jonathan Schoop,4005,FA,MI,0,trd,previously_active,,19,6,0,0,1,0,7,1,0.095,0.0,0.053,15,0,114,38,1,0,0
2021,mixed,Zach Steinhorn,Mike Moustakas,2004,FA,2B,14,dis,reserved,"3B,1B,CI,MI,2B",17,6,2,0,3,0,7,2,0.368,0.0,0.529,0,0,11,1,44,0,0
2021,mixed,Zach Steinhorn,Garrett Cooper,6182,Atl,OF,23,dis,reserved,"1B,CI,OF",7,3,4,1,2,0,2,3,0.7,0.0,1.29,2,0,19,0,0,0,41
2021,mixed,Zach Steinhorn,Jorge Mateo,5119,Bal,OF,53,dis,reserved,"SS,2B,OF,3B,MI",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,19,9,18,24
2021,mixed,Zach Steinhorn,Jesus Sanchez,6068,Mia,OF,28,dis,reserved,OF,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,62
2021,mixed,Zach Steinhorn,Yan Gomes,3945,FA,C,48,res,reserved,C,135,42,20,6,19,0,32,6,0.271,0.133,0.393,6,92,0,0,0,0,0
2021,mixed,Zach Steinhorn,Yonny Hernandez,7481,Mil,UT,12,res,reserved,"2B,3B,SS",15,4,0,0,0,0,7,0,0.067,0.067,0.133,2,0,0,9,29,6,0
2021,mixed,Zach Steinhorn,Cesar Hernandez,3413,FA,2B,2,act,previously_reserved,"2B,MI",20,5,6,1,2,0,2,3,0.261,0.0,0.35,7,0,0,142,0,1,0
2021,mixed,Zach Steinhorn,Javier Baez,3804,Det,SS,15,act,previously_reserved,"SS,2B,MI",4,1,2,0,1,0,1,0,0.6,0.0,1.0,0,0,0,35,0,100,0
2021,mixed,Zach Steinhorn,Michael Conforto,4911,LAD,OF,24,act,previously_reserved,OF,4,1,2,0,0,0,1,1,0.6,0.0,0.75,1,0,0,0,0,0,118
2021,mixed,Zach Steinhorn,Oscar Mercado,5747,Phi,OF,73,rel,previously_reserved,,83,26,8,2,6,2,13,12,0.323,0.0,0.349,0,0,0,0,0,0,68
2021,mixed,Zach Steinhorn,Manuel Margot,4858,Mil,OF,8,act,previously_reserved,OF,15,4,0,0,1,1,4,1,0.187,0.0,0.133,3,0,0,0,0,0,119
2021,mixed,Zach Steinhorn,Brandon Marsh,6077,Phi,OF,127,rel,previously_reserved,,21,7,2,0,0,0,10,3,0.208,0.0,0.143,0,0,0,0,0,0,70
2021,mixed,Zach Steinhorn,Joc Pederson,4090,Tex,OF,3,act,previously_reserved,OF,25,14,6,2,4,0,8,4,0.345,1.0,0.56,1,0,1,0,0,0,117
