year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,g,r,hr,rbi,sb,so,bb,avg,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2022,al,Mike Podhorzer,Jose Miranda,6559,Min,CI,1,act,active,"3B,1B",422,119,41,12,60,1,83,27,0.324,0.4,0.408,21,0,77,0,34,0,0
2022,al,Mike Podhorzer,Ryan Kreidler,7947,Det,MI,2,act,active,"UT,SS,3B",43,16,4,0,4,0,12,3,0.208,0.222,0.14,0,0,0,2,13,13,1
2022,al,Mike Podhorzer,Nate Lowe,6652,Tex,1B,15,act,active,"1B,CI,SW",593,157,74,27,76,2,147,48,0.358,0.417,0.492,4,0,153,0,0,0,0
2022,al,Mike Podhorzer,Whit Merrifield,4419,Tor,2B,28,act,active,"2B,OF,MI,SW",473,131,64,8,50,16,76,37,0.293,0.4,0.349,5,0,2,83,0,0,62
2022,al,Mike Podhorzer,Luis Rengifo,6622,LAA,SS,17,act,active,"3B,SS,MI,SW,OF,2B",489,126,44,17,52,6,79,16,0.293,0.167,0.429,0,0,0,99,39,19,5
2022,al,Mike Podhorzer,Alex Bregman,4907,Hou,3B,22,act,active,"3B,CI,SW",548,155,93,23,93,1,77,87,0.366,0.364,0.454,0,0,0,0,154,0,0
2022,al,Mike Podhorzer,*Sam Haggerty,6912,Sea,OF,22,act,active,"OF,SW",88,43,14,2,11,8,29,13,0.305,0.75,0.273,6,0,0,4,0,0,70
2022,al,Mike Podhorzer,Conner Capel,6479,Oak,OF,0,act,active,OF,17,8,2,0,2,1,7,2,0.3,0.375,0.235,2,0,0,0,0,0,20
2022,al,Mike Podhorzer,Cedric Mullins,6128,Bal,OF,26,act,active,"OF,SW",104,27,17,3,13,5,23,5,0.279,0.143,0.375,4,0,0,0,0,0,150
2022,al,Mike Podhorzer,Seth Brown,7100,Oak,OF,7,act,active,"OF,1B,SW",474,142,50,21,68,10,140,48,0.297,0.357,0.416,2,0,84,0,0,0,77
2022,al,Mike Podhorzer,Martin Maldonado,2347,Hou,C,0,act,active,"C,SW",114,39,16,4,12,0,39,11,0.242,0.167,0.281,0,113,0,0,0,0,0
2022,al,Mike Podhorzer,Matt Thaiss,5814,LAA,C,0,act,active,"C,1B,SW,CI",14,6,3,0,3,0,1,4,0.389,0.5,0.286,0,14,11,0,3,0,0
2022,al,Mike Podhorzer,Dermis Garcia,4993,Oak,UT,0,act,active,1B,45,14,4,1,3,0,20,1,0.152,0.0,0.222,2,0,35,0,0,0,1
2022,al,Mike Podhorzer,Drew Waters,6537,KC,SW,67,act,active,OF,77,26,10,5,15,0,35,8,0.306,0.167,0.519,0,0,0,0,0,0,31
2022,al,Mike Podhorzer,Kody Clemens,7016,Det,MI,0,rel,previously_active,,24,10,5,2,6,0,6,4,0.345,0.0,0.542,6,0,13,9,17,0,8
