year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2024,al,Larry Schechter,Ryan O'Hearn,5940,Pit,1B,3,act,"1B,OF,INF,SW",active
2024,al,Larry Schechter,Zack Gelof,7964,Oak,2B,20,act,"2B,SW,INF",active
2024,al,Larry Schechter,Josh Smith,7845,Tex,SS,89,act,"SS,3B,OF,SW,INF",active
2024,al,Larry Schechter,Josh Rojas,6789,KC,3B,4,act,"3B,2B,OF,SW,INF",active
2024,al,Larry Schechter,Josh Lowe,6072,LAA,OF,24,act,"OF,SW",active
2024,al,Larry Schechter,Cedric Mullins,6128,TB,OF,22,act,"OF,SW",active
2024,al,Larry Schechter,Austin Hays,6076,CWS,OF,7,act,"OF,SW",active
2024,al,Larry Schechter,Tommy Pham,5041,NYM,OF,0,act,"OF,SW",active
2024,al,Larry Schechter,Jonah Heim,5632,Atl,C,15,act,"C,SW",active
2024,al,Larry Schechter,Cal Raleigh,6814,Sea,C,17,act,"C,SW",active
2024,al,Larry Schechter,Kerry Carpenter,8216,Det,UT,13,act,"OF,SW",active
2024,al,Larry Schechter,Michael Stefanic,7914,Oak,INF,30,act,"2B,INF,SW",active
2024,al,Larry Schechter,Vaughn Grissom,7487,LAA,SW,16,act,"2B,SS,SW,INF",active
2024,al,Larry Schechter,Jose Berrios,4464,Tor,P,12,act,P,active
2024,al,Larry Schechter,Jon Gray,4445,FA,P,0,act,P,active
2024,al,Larry Schechter,Chris Bassitt,4773,Bal,P,19,act,P,active
2024,al,Larry Schechter,Colin Poche,6583,FA,P,6,act,P,active
2024,al,Larry Schechter,Bailey Ober,7533,Min,P,15,act,P,active
2024,al,Larry Schechter,Marcus Stroman,4137,FA,P,9,act,P,active
2024,al,Larry Schechter,Jason Foley,7500,SF,P,1,act,P,active
2024,al,Larry Schechter,Justin Verlander,504,Det,P,3,act,P,active
2024,al,Larry Schechter,Matthew Boyd,5373,ChC,P,366,act,P,active
2024,al,Larry Schechter,Bryan Abreu,6708,Hou,P,22,act,P,active
2024,al,Larry Schechter,Corey Seager,4154,Tex,SS,27,dis,"SS,INF,SW",reserved
2024,al,Larry Schechter,Trent Grisham,5285,NYY,OF,39,res,"OF,SW",reserved
2024,al,Larry Schechter,Brooks Baldwin,9111,CWS,INF,0,res,"UT,SS,2B",reserved
2024,al,Larry Schechter,Jeffrey Springs,6429,Oak,P,0,dis,P,reserved
2024,al,Jeff Erickson,Yandy Diaz,5735,TB,1B,23,act,"1B,INF,SW",active
2024,al,Jeff Erickson,Nicky Lopez,6356,ChC,2B,1,act,"3B,2B,SS,SW,INF",active
2024,al,Jeff Erickson,Jackson Holliday,8228,Bal,SS,12,act,2B,active
2024,al,Jeff Erickson,Ernie Clement,6888,Tor,3B,13,act,"3B,SS,SW,INF",active
2024,al,Jeff Erickson,Robbie Grossman,2699,KC,OF,25,act,"OF,SW",active
2024,al,Jeff Erickson,Parker Meadows,6915,Det,OF,9,act,"OF,SW",active
2024,al,Jeff Erickson,Yordan Alvarez,6185,Hou,OF,39,act,"OF,SW",active
2024,al,Jeff Erickson,Adolis Garcia,5465,Phi,OF,30,act,"OF,SW",active
2024,al,Jeff Erickson,Bo Naylor,6848,Cle,C,17,act,"C,SW",active
2024,al,Jeff Erickson,Logan O'Hoppe,7442,LAA,C,18,act,"C,SW",active
2024,al,Jeff Erickson,Jose Miranda,6559,SD,UT,29,act,"3B,1B,SW,INF",active
2024,al,Jeff Erickson,Brooks Lee,8086,Min,INF,13,act,"SS,2B,3B",active
2024,al,Jeff Erickson,Connor Norby,8177,Mia,SW,173,act,"3B,2B",active
2024,al,Jeff Erickson,Heston Kjerstad,7362,Bal,SW,35,act,"OF,SW",active
2024,al,Jeff Erickson,Gavin Williams,7824,Cle,P,6,act,P,active
2024,al,Jeff Erickson,Luis Gil,7074,NYY,P,17,act,P,active
