year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2018,mixed,Tim Heaney,1071,15.0,300,14.0,1066,15.0,134,14.0,0.3261,4.0,,,104,15.0,88,15.0,3.116,15.0,1.1344,15.0,1312,8.0,130.0
2018,mixed,Fred Zinkie,1014,12.0,281,11.0,996,13.0,121,8.0,0.3379,13.0,,,95,13.0,6,1.0,3.854,10.0,1.1994,12.0,1442,14.0,107.0
2018,mixed,Derek VanRiper,977,5.0,308,15.0,1040,14.0,111,7.0,0.3369,12.0,,,101,14.0,58,4.0,3.925,7.0,1.2533,5.0,1425,13.0,96.0
2018,mixed,Jeff Zimmerman,995,10.0,275,9.0,951,9.0,100,5.0,0.3455,15.0,,,84,8.5,71,10.0,4.011,5.0,1.2236,10.0,1400,11.0,92.5
2018,mixed,Bret Sayre,949,3.0,253,5.0,898,4.0,104,6.0,0.3297,7.0,,,84,8.5,67,9.0,3.38,14.0,1.171,14.0,1482,15.0,85.5
2018,mixed,Zach Steinhorn,1041,13.0,264,7.0,968,10.0,128,12.0,0.3321,11.0,,,72,5.5,73,11.0,3.969,6.0,1.309,2.0,1302,7.0,84.5
2018,mixed,Al Melchior,924,2.0,297,13.0,971,11.0,99,3.5,0.3282,6.0,,,88,11.0,64,8.0,4.014,4.0,1.1933,13.0,1355,10.0,81.5
2018,mixed,Ray Flowers,981,7.0,253,5.0,941,8.0,125,10.0,0.3302,8.0,,,91,12.0,62,7.0,3.834,11.0,1.2387,7.0,1299,6.0,81.0
2018,mixed,Scott Engel,1008,11.0,243,2.0,910,5.0,130,13.0,0.3251,3.0,,,85,10.0,75,12.0,3.879,9.0,1.2571,4.0,1324,9.0,78.0
2018,mixed,Brent Hershey,1045,14.0,253,5.0,919,6.0,142,15.0,0.3447,14.0,,,71,4.0,43,3.0,4.215,2.0,1.2949,3.0,1257,5.0,71.0
2018,mixed,Scott Pianowski,990,8.0,240,1.0,825,1.0,126,11.0,0.3306,9.0,,,64,2.0,84,14.0,3.692,13.0,1.2256,9.0,1150,1.0,69.0
2018,mixed,Joe Pisapia,994,9.0,272,8.0,931,7.0,123,9.0,0.3319,10.0,,,69,3.0,60,6.0,4.077,3.0,1.2362,8.0,1182,3.0,66.0
2018,mixed,Ron Shandler,863,1.0,293,12.0,883,3.0,70,1.0,0.3146,1.0,,,77,7.0,39,2.0,3.821,12.0,1.2122,11.0,1410,12.0,62.0
2018,mixed,Scott Swanay,962,4.0,279,10.0,993,12.0,79,2.0,0.3273,5.0,,,72,5.5,59,5.0,3.917,8.0,1.2393,6.0,1190,4.0,61.5
2018,mixed,Tim McLeod,980,6.0,247,3.0,875,2.0,99,3.5,0.3251,2.0,,,63,1.0,82,13.0,4.453,1.0,1.3356,1.0,1176,2.0,34.5
