year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2019,al,Rob Leibowitz,984,9.0,316,10.0,977,11.0,81,5.0,0.3403,12.0,,,79,10.0,54,10.0,3.8,11.0,1.209,11.0,1289,11.0,100.0
2019,al,Rick Wolf/Glenn Colton,1016,12.0,330,12.0,1004,12.0,79,4.0,0.3171,3.0,,,91,12.0,69,12.0,3.91,10.0,1.232,10.0,1320,12.0,99.0
2019,al,Patrick Davitt,1003,11.0,323,11.0,959,10.0,114,12.0,0.3361,10.0,,,57,2.0,61,11.0,3.7,12.0,1.173,12.0,993,3.0,94.0
2019,al,Jason Collette,992,10.0,304,9.0,953,9.0,101,8.0,0.3368,11.0,,,82,11.0,42,6.0,4.3,8.0,1.286,7.0,1210,7.0,86.0
2019,al,Larry Schechter,909,5.0,279,7.0,938,8.0,110,10.5,0.3167,2.0,,,74,9.0,20,3.0,4.38,7.0,1.275,8.0,1260,9.0,68.5
2019,al,Mike Podhorzer,945,7.0,286,8.0,861,5.0,90,6.5,0.3219,6.0,,,66,4.5,35,4.0,4.12,9.0,1.248,9.0,1104,5.0,64.0
2019,al,Jeff Erickson,930,6.0,237,3.0,854,4.0,110,10.5,0.3352,9.0,,,71,6.5,49,8.5,4.53,5.0,1.324,5.0,1121,6.0,63.5
2019,al,Mike Gianella,955,8.0,256,4.0,895,7.0,108,9.0,0.3188,4.0,,,73,8.0,49,8.5,4.92,1.0,1.362,2.0,1285,10.0,61.5
2019,al,Chris Liss,873,4.0,274,6.0,885,6.0,90,6.5,0.3288,8.0,,,66,4.5,12,2.0,4.6,4.0,1.324,6.0,1008,4.0,51.0
2019,al,Howard Bender,723,2.0,196,2.0,649,2.0,77,3.0,0.3264,7.0,,,60,3.0,37,5.0,4.48,6.0,1.327,4.0,962,1.0,35.0
2019,al,Nando DiFino,657,1.0,188,1.0,643,1.0,37,1.0,0.3004,1.0,,,71,6.5,48,7.0,4.87,3.0,1.375,1.0,1227,8.0,30.5
2019,al,Doug Dennis,817,3.0,260,5.0,822,3.0,45,2.0,0.3219,5.0,,,54,1.0,9,1.0,4.89,2.0,1.362,3.0,974,2.0,27.0
