year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2020,nl,Fred Zinkie,370,12.0,87,5.0,330,9.5,41,12.0,0.3332,7.0,,,26,7.5,8,2.0,3.67,9.0,1.192,10.0,452,11.0,85.0
2020,nl,Steve Gardner,334,9.5,97,10.0,306,8.0,26,3.0,0.3176,3.0,,,32,12.0,13,7.5,3.81,8.0,1.164,12.0,445,10.0,83.0
2020,nl,Scott Wilderman,361,11.0,103,11.0,330,9.5,37,10.0,0.3399,11.0,,,21,5.0,15,9.5,5.02,3.0,1.491,1.0,393,5.0,76.0
2020,nl,Brian Walton,291,3.0,83,4.0,287,5.0,35,9.0,0.3481,12.0,,,31,11.0,11,6.0,3.32,11.0,1.192,9.0,342,2.0,72.0
2020,nl,Phil Hertz,334,9.5,89,6.5,305,7.0,27,4.0,0.3381,9.0,,,17,1.5,10,4.0,3.16,12.0,1.165,11.0,405,7.0,71.5
2020,nl,Grey Albright,302,5.0,80,3.0,281,3.0,40,11.0,0.3355,8.0,,,26,7.5,13,7.5,4.15,7.0,1.256,7.0,510,12.0,71.0
2020,nl,Todd Zola,333,8.0,93,9.0,346,11.0,32,7.0,0.3384,10.0,,,19,3.0,15,9.5,4.82,4.0,1.379,2.0,402,6.0,69.5
2020,nl,Derek Carty,309,7.0,109,12.0,359,12.0,23,1.0,0.3293,6.0,,,27,9.5,10,4.0,4.5,5.0,1.379,3.0,413,8.0,67.5
2020,nl,Tristan H. Cockcroft,265,2.0,66,2.0,260,2.0,34,8.0,0.3202,5.0,,,20,4.0,16,11.0,3.64,10.0,1.246,8.0,435,9.0,61.0
2020,nl,Justin Mason,307,6.0,89,6.5,282,4.0,28,5.5,0.319,4.0,,,24,6.0,26,12.0,5.17,1.0,1.373,4.0,346,3.0,52.0
2020,nl,Peter Kreutzer,300,4.0,92,8.0,292,6.0,28,5.5,0.317,2.0,,,27,9.5,10,4.0,5.11,2.0,1.293,5.0,370,4.0,50.0
2020,nl,Lenny Melnick,259,1.0,56,1.0,216,1.0,24,2.0,0.2918,1.0,,,17,1.5,4,1.0,4.44,6.0,1.28,6.0,316,1.0,21.5
